spdep,spscheme,unit,geo,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
SNTCL_OTH,TOTAL,PPS_HAB,BA,,,0.10,0.04,0.04,0.04,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,BE,0.01,0.01,0.90,1.16,0.98,1.29,1.47,2.93,1.46,2.36,1.21,0.86,1.13,1.71,1.15,1.15,1.13,1.08,1.21,1.06,1.09,0.97,0.96,2.48,1.06,0.25,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,BG,,0.81,1.04,1.10,1.15,0.80,0.69,0.51,0.53,0.60,0.50,0.31,0.32,0.25,0.19,0.30,,,,,,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,CH,,11.06,10.24,10.84,9.67,9.20,9.16,8.53,7.93,8.26,8.58,9.17,9.49,10.04,9.92,9.18,10.06,10.07,9.12,8.47,7.90,1.51,1.60,1.57,1.35,1.25,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,CY,,7.05,5.24,7.91,7.29,16.55,15.00,16.62,19.05,19.66,21.58,22.61,22.71,18.84,18.34,18.93,13.20,14.13,9.70,7.85,6.70,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,CZ,5.66,6.39,6.57,6.40,5.95,2.81,2.72,2.62,3.65,8.21,7.32,7.61,7.89,7.71,7.24,7.24,7.96,7.79,6.36,6.06,5.43,5.52,5.24,6.31,7.04,3.64,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,DE,1.09 p,1.09,0.95,0.99,0.96,1.00,0.94,1.02,1.04,1.06,1.07,1.23,8.61,1.16,1.25,1.41,1.69,1.84,1.73,1.74,1.61,1.58,1.86,1.92,1.90,1.69,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,DK,57.58,56.65,53.59,54.70,33.10,46.46,39.40,38.79,52.58,41.93,63.47,51.31,63.59,101.36 b,103.86,101.03,82.41,70.79,65.63,60.71,54.04,49.86,38.39,42.19,44.77,44.42,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,EA12,,3.48 p,3.27 p,3.35 p,3.62 p,3.86,3.93,4.23,4.05,4.77,5.30,5.21,7.19,4.78,4.87,4.37,4.83,4.20,3.43,3.01,2.84,2.63,2.75,2.86,2.80,2.72,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,EA18,,3.46 p,3.26 p,3.33 p,3.60 p,3.86,3.92,4.22,4.05,4.78,5.28,5.19,7.11,4.76,4.84,4.34,4.76,4.15,3.40,2.98,2.81,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,EA19,,3.46 p,3.25 p,3.33 p,3.59 p,3.85,3.91,4.20,4.04,4.75,5.25,5.16,7.07,4.73,4.81,4.31,4.72,4.12,3.37,2.95,2.78,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,EE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,EL,,0.22 p,0.18 p,0.20 p,0.20,0.19,0.21,0.28,0.82,0.71,0.68,0.47,1.98,1.78,0.23,0.18,0.17,0.14,0.11,0.09,0.09 b,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,ES,,6.12 p,5.96 p,5.60 p,5.44 p,5.51,5.71,5.86,6.11,6.10,7.12,9.13,7.64,6.86,7.05,6.05,5.48,5.16,5.26,5.23,6.57,3.98,3.97,3.84,3.34,3.70,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,EU15,,,6.59 p,6.95 p,6.78 p,7.39,7.33,7.69,7.81,8.53,8.67,8.11,10.06,9.25,10.28,6.74,6.86,6.12,5.58,5.20,4.90,4.61,4.19,4.33,4.18,4.12,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,EU27_2007,,,6.06 p,6.37 p,6.25 p,6.71,6.69,7.01,7.11,8.23,8.00,7.30,8.96,8.27,9.10,6.09,,,,,,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,EU27_2020,,5.13 p,4.02 p,4.09 p,3.94 p,4.30,4.26,4.50,4.62,5.59,5.99,5.47,7.25,,,,,,,,,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,EU28,,,6.04 p,6.33 p,6.21 p,6.68,6.64,6.97,7.06,8.18,7.94,7.25,8.91,,,,,,,,,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,FI,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,FR,5.30 p,6.93,6.86,7.30,8.16,9.13,9.16,9.93,8.71,9.28,9.30,9.01,9.49,8.96,9.78,10.00,9.59,6.67,4.47,5.31,4.28,4.15,4.12,4.20,4.39,4.40,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,HR,1.54 e,1.57 e,1.51 e,1.46 e,1.34 e,2.14,0.00,0.00,0.00,0.00,0.00,0.00,1.72,,,,,,,,,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,HU,0.05 p,0.07,0.00,0.00,0.00,0.00 b,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,IE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 b,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,IS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,IT,4.46 p,4.82 p,3.77 p,3.77,4.56,4.51,4.51,4.78,5.04,8.17,10.66,8.79,9.49,7.83,7.15,5.24,8.11,8.42,6.97,3.91,3.50,4.27,4.59,4.85,4.95,5.13,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,LT,2.82 p,2.82 p,2.29,2.13,2.10,1.93,1.33,1.45,1.72,1.20,1.22,1.27,1.13,1.13,1.23,1.13,0.90,0.68,0.22,0.10,0.14,0.12,0.21,0.00,0.00,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,LU,20.05,23.35,21.38,27.72,23.75,24.31,37.71,38.16,38.98,44.89,48.32,49.91,49.85,56.02,103.77,60.32,59.91,53.94,52.02,48.36,43.62,38.42,32.33,28.00,26.88,26.48,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,LV,0.86,0.89,0.82 p,0.83,0.69,0.68,0.65,0.57,0.49,0.39,0.32,0.23,0.18,0.15,0.15,0.11,0.08,0.06,0.05,0.02,0.03,0.02,0.01,0.00,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,ME,,0.00 p,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,MK,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,MT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,NL,,0.19,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 b,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,NO,,2.05,2.49,3.34,3.09,6.51,14.70,8.45,5.50,5.04,5.05,3.99,3.88,4.76,4.46,5.93,7.92,3.58,3.48,1.98,2.00,2.10,1.90,1.73,1.69,1.38,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,PL,,23.64,5.59,5.64,6.76,6.01,7.32,8.03,7.53,18.58,10.60 p,6.10 p,6.73 p,7.51 p,7.65 p,7.20 p,6.56 p,7.19 p,7.88 p,8.14 p,8.97 p,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,PT,0.21,0.70,0.56,0.41,0.62,0.58,0.57,0.38,0.60,0.37,0.51,0.48,0.66,0.85,0.61,0.40,0.27,0.10,0.13,0.10,0.03,0.02,0.01,0.01,0.02,0.02,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,RO,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,RS,,3.55,2.23,3.85,0.04,0.05,0.07,0.08,0.09,0.10,0.07,0.16,0.16,,,,,,,,,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,SE,0.00 p,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,SI,,4.07 p,4.01,4.21,5.16,5.47,5.08,5.26,5.36,7.48,7.41,7.33,7.68,7.78,8.47,8.35,6.47,6.50,7.86,7.77,8.09,8.05,7.07,6.85,4.24,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,SK,3.55,3.69,4.01,3.84,3.89,4.32,4.06,4.31,4.32,5.47,4.36,4.28,4.15,4.26,3.64,2.22,1.67,1.58,0.98,0.00,0.00,2.00,2.67,2.25,1.91,1.16,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,TR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 b,0.00,0.00,0.00,0.00 b,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
SNTCL_OTH,TOTAL,PPS_HAB,UK,,,17.27 p,18.97,18.31,18.31,19.59,21.27,21.07,24.22,20.20,18.87,19.26,20.27,25.15,8.17,8.95,8.56,9.06,9.20,8.90,8.83,7.41,7.52,7.11,7.09,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,AT,53.19,50.84,51.84,51.07,52.64,53.19,53.69,55.48,61.15,56.15,57.37,54.56,52.48,54.02,50.93,51.46,49.89,50.23,49.99,50.79,50.44,50.25,50.10,48.50,67.90,73.47,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,BA,,,17.78,16.97,17.37,15.23,11.50,10.22,,,,,,,,,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,BE,10.65,10.03,9.90,8.43,28.49,27.32,27.02,26.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.09,8.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,BG,,5.34,5.48,5.71,6.09,6.31,6.53,6.54,6.21,6.63,7.09,7.22,6.20,5.93,6.31,5.79,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,CH,,45.73,44.02,43.15,43.25,42.49,41.16,41.09,43.12,46.89,45.80,45.43,43.61,42.06,44.30,40.46,34.60,18.74,18.52,18.06,17.27,15.24,14.82,14.69,13.97,13.83,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,CY,,24.17,23.38,44.17,44.45,32.66,31.09,30.64,30.98,32.43,29.54,31.10,22.10,23.16,26.89,21.50,50.05,33.74,30.92,23.94,15.94,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,CZ,33.57,31.80,28.69,29.36,28.18,26.62,24.90,25.15,23.75,21.16,22.25,21.53,22.50,21.12,1.79,1.62,1.58,1.62,1.59,1.51,1.48,1.33,0.70,0.00,0.00,0.00,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,DE,0.00 p,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SNTCPCARE,TOTAL,EUR_HAB_KP10,DK,0.00,0.00,0.00,5.00,3.28,3.46,3.22,3.19,3.54,3.69,3.98,4.23,4.12,4.01 b,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SNTCPCARE,TOTAL,EUR_HAB_KP10,EA12,,45.46 p,44.96 p,44.90 p,45.83 p,45.85,45.90,45.52,44.12,43.71,44.36,43.38,40.81,39.32,37.53,36.04,35.16,34.44,29.64,25.55,24.81,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,EA19,,44.07 p,43.54 p,43.54 p,44.40 p,44.38,44.37,43.97,42.62,42.22,42.84,41.89,39.38,37.96,36.22,34.78,33.97,33.22,28.63,24.68,23.88,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,EE,,39.15,40.99,41.66,41.78,40.59,37.57,39.64,39.02,38.43,37.37,34.86,31.61,30.97,32.40,31.79,31.29,30.36,29.93,25.03,3.39,3.34,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,EL,,0.00 p,0.00 p,0.00 p,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 b,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,ES,,0.00 p,0.00 p,0.00 p,0.00 p,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,EU15,,,44.75 p,44.84 p,45.23 p,44.88,44.37,43.62,42.06,41.40,41.67,40.91,38.27,36.70,68.03,65.75,63.92,59.47,59.22,54.80,52.66,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,EU27_2020,,36.75 p,36.35 p,36.41 p,37.04 p,36.94,36.62,36.26,35.14,34.76,35.42,34.59,32.53,,,,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,EU28,,,37.78 p,37.88 p,38.16 p,37.82,37.12,36.45,35.15,34.54,34.90,34.12,31.91,,,,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,FI,,87.53,89.72,90.68,95.84,102.22,102.05,100.39,96.75,95.99,95.55,80.27,78.62,23.94,23.28,23.82,24.60,24.76,24.99,25.68,24.95,24.95,17.95,18.91,18.67,18.26,18.09,18.31,19.17,18.63,16.68
SNTCPCARE,TOTAL,EUR_HAB_KP10,FR,16.93 p,15.95,15.23,14.51,13.84,12.79,13.06,12.49,12.43,11.75,11.60,11.67,11.29,10.82,11.14,11.07,11.18,10.53,9.31,8.82,8.50,8.08,7.86,7.77,8.26,8.61,8.41,8.02,7.54,7.39,7.29
SNTCPCARE,TOTAL,EUR_HAB_KP10,HR,3.13,3.29,3.46,3.64,3.83,3.89,4.11,4.35,4.64,5.15,5.55,5.96,6.34,,,,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,HU,8.54 p,9.07,9.41,9.69,10.08,10.28 b,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,IE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 b,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,IS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,IT,213.53 p,215.83 p,209.50 p,208.33,207.98,207.38,206.08,205.18,203.63,204.56,210.30,206.50,193.74,191.22,181.18,173.62,169.44,161.41,138.68,118.83,114.96,111.01,107.93,102.18,109.89,113.15,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,LT,12.93 p,12.58 p,10.74,10.95,11.40,10.70,10.20,8.32,9.01,8.93,10.80,12.12,11.10,12.56,5.38,5.12,2.22,0.65,2.04,1.70,1.49,0.13,0.00,0.00,0.00,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,LU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.94,89.06,0.00,0.00,0.00,0.00,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,LV,23.02,21.70,20.69 p,20.89,20.22,19.29,15.96,12.21,11.22,10.38,9.41,7.92,5.72,0.49,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,ME,,23.97 p,21.63,21.51,21.43,,,,,,,,,,,,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,MK,,,,13.70,12.27,11.86,,,,,,,,,,,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,MT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,NL,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 b,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,NO,,61.28,67.65,70.43,72.79,74.20,77.38,79.69,82.32,84.68,86.53,89.02,89.83,92.25,92.95,93.82,94.16,95.44,95.71,93.18,94.45,90.60,90.92,93.57,90.84,90.27,90.19,89.16,89.66,85.97,79.55
SNTCPCARE,TOTAL,EUR_HAB_KP10,PL,,10.76,11.14,11.08,11.41,11.50,11.58,11.59,11.56,11.75,13.40 p,11.52 p,11.07 p,10.98 p,10.39 p,10.03 p,10.03 p,10.44 p,12.69 p,14.29 p,12.05 p,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,PT,0.42,0.44,0.46,0.45,0.44,0.40,0.40,0.40,0.40,0.39,0.39,0.40,0.38,5.28,5.08,4.94,4.77,22.06,21.02,17.93,15.26,12.93,12.08,11.44,11.39,10.83,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,RO,,0.61,0.62,0.62,0.52,0.48,0.45,0.42,0.41,0.40,0.39,0.39,0.56,1.78,0.45,0.80,0.53,0.55,0.42,0.44,0.30,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,RS,,7.50,7.37,7.27,7.02,6.99,7.49,7.21,6.73,6.52,5.97,5.66,5.60,,,,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,SE,40.86 p,42.60,45.00,45.92,46.11,45.62,44.40,43.94,42.93,41.85,42.03,43.36,42.58,43.43,44.60,44.62,44.35,42.80,42.31,41.05,41.17,40.59,39.72,38.41,37.94,37.25,37.52,36.77,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,SI,,29.88 p,21.10,22.40,18.48,20.82,19.84,18.87,18.33,18.36,18.51,18.13,18.30,17.27,18.68,18.43,18.26,17.02,17.21,16.89,16.55,16.61,15.78,14.46,14.14,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,SK,0.00,0.22,0.24,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.75,0.96,1.14,1.92,0.00,0.00,0.00,0.00,0.00,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,TR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 b,0.00,0.00,0.00,0.00 b,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
SNTCPCARE,TOTAL,EUR_HAB_KP10,UK,,,47.23 p,47.62,46.01,44.84,41.16,37.94,35.85,33.01,31.20,30.40,28.29,27.84,206.60,202.28,195.90,177.03,184.58,175.52,163.50,155.27,147.20,139.51,131.19,118.81,,,,,
SNTCPCARE,TOTAL,MIO_EUR,AT,581.45,540.74,539.05,517.49,520.47,512.27,502.71,505.53,543.26,484.95,479.78,447.36,426.25,427.89,392.58,386.76,364.05,357.88,348.94,348.91,337.24,328.80,323.47,312.23,442.84,480.30,424.37,271.13,174.44,154.46,146.26
SNTCPCARE,TOTAL,MIO_EUR,BA,,67.69,67.32,63.22,63.99,58.80,46.46,41.55,,,,,,,,,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,MIO_EUR,BE,144.52,133.95,129.57,107.48,354.49,333.62,325.59,313.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.80,72.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SNTCPCARE,TOTAL,MIO_EUR,BG,,45.97,46.24,47.09,48.48,49.79,50.79,50.31,48.35,50.42,52.44,52.53,44.87,40.33,39.89,35.86,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,MIO_EUR,CH,,481.01,443.63,443.35,445.65,442.59,377.31,368.06,391.07,414.35,358.41,320.41,289.83,261.61,280.77,255.20,215.30,116.97,117.61,110.90,101.60,85.86,81.87,79.87,79.02,78.35,71.12,64.50,55.84,48.69,46.65
SNTCPCARE,TOTAL,MIO_EUR,CY,,21.93,20.61,37.98,37.46,27.92,27.37,27.59,28.19,28.43,24.50,24.50,16.87,16.52,18.32,13.88,30.60,19.96,17.84,13.45,8.71,,,,,,,,,,
SNTCPCARE,TOTAL,MIO_EUR,CZ,414.51,390.06,339.17,326.92,297.21,276.04,254.20,269.29,261.20,232.94,233.09,214.17,232.69,186.36,14.88,12.48,11.24,11.07,11.15,9.49,8.59,7.23,3.81,0.00,0.00,0.00,,,,,
SNTCPCARE,TOTAL,MIO_EUR,DE,0.00 p,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SNTCPCARE,TOTAL,MIO_EUR,DK,0.00,0.00,0.00,30.58,19.71,20.53,18.98,18.61,20.52,20.81,22.07,22.91,21.74,20.47 b,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SNTCPCARE,TOTAL,MIO_EUR,EA12,,16437.44 p,16038.48 p,15733.67 p,15811.17 p,15702.81,15611.72,15329.38,14635.65,14240.33,14214.35,13668.89,12838.71,11989.15,11129.72,10396.61,9886.13,9439.46,7903.04,6633.37,6255.53,5856.68,5529.87,5202.73,5500.20,5117.14,5449.91,5118.78,4794.66,4499.75,
SNTCPCARE,TOTAL,MIO_EUR,EA18,,16649.30 p,16225.07 p,15936.46 p,15997.37 p,15879.36,15773.77,15483.64,14784.06,14383.21,14346.28,13792.51,12946.58,12076.04,11217.87,10475.91,9981.51,9519.94,7980.67,6699.99,6297.52,,,,,,,,,,
SNTCPCARE,TOTAL,MIO_EUR,EA19,,16692.21 p,16260.61 p,15971.80 p,16033.30 p,15913.04,15806.15,15510.17,14812.87,14411.47,14379.73,13830.47,12980.37,12110.45,11231.85,10488.72,9986.96,9521.54,7985.82,6704.15,6301.02,,,,,,,,,,
SNTCPCARE,TOTAL,MIO_EUR,EE,,68.34,69.10,66.95,64.20,61.35,56.48,58.80,56.19,53.47,49.76,45.17,41.47,37.42,36.20,33.70,31.92,29.89,29.02,23.54,3.00,2.85,,,,,,,,,
SNTCPCARE,TOTAL,MIO_EUR,EEA,,,21511.37 p,21226.59 p,21266.60 p,21414.76,20545.31,19857.16,19056.56,18168.75,17980.25,17059.21,16352.50,15581.71,26872.43,25210.66,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,MIO_EUR,EL,,0.00 p,0.00 p,0.00 p,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 b,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SNTCPCARE,TOTAL,MIO_EUR,ES,,0.00 p,0.00 p,0.00 p,0.00 p,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SNTCPCARE,TOTAL,MIO_EUR,EU15,,,19982.69 p,19688.51 p,19779.86 p,19928.80,19162.10,18448.35,17646.83,16811.46,16588.74,15843.49,15071.77,14400.71,25964.01,24349.35,23100.01,20869.31,20625.57,18662.09,17600.74,15712.03,14536.17,13415.12,12054.02,10738.40,10560.12,9626.73,,,
SNTCPCARE,TOTAL,MIO_EUR,EU27_2007,,,21147.31 p,20849.45 p,20887.10 p,21027.47,20128.14,19414.60,18597.44,17729.02,17557.16,16674.35,15957.22,15187.60,26488.33,24833.71,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,MIO_EUR,EU27_2020,,18154.84 p,17708.22 p,17452.01 p,17458.22 p,17329.89,17092.92,16818.41,16088.43,15626.13,15622.83,14905.01,14150.39,,,,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,MIO_EUR,EU28,,,21162.29 p,20865.01 p,20903.33 p,21044.08,20145.79,19433.53,18617.58,17751.08,17581.02,16699.51,15983.65,,,,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,MIO_EUR,FI,,557.09,562.94,560.62,586.58,624.94,618.08,597.23,559.33,535.14,512.49,421.74,402.00,117.30,110.94,110.98,112.56,111.87,110.86,111.13,104.28,100.91,70.88,74.31,72.59,71.29,64.29,59.44,69.22,75.17,65.50
SNTCPCARE,TOTAL,MIO_EUR,FR,1261.87 p,1151.76,1086.82,1017.11,959.86,883.67,897.05,849.48,835.81,777.05,751.94,744.65,723.50,671.80,673.60,651.20,640.20,586.70,504.60,467.00,437.90,404.10,388.42,379.63,405.01,412.27,391.52,364.68,324.61,302.99,292.11
SNTCPCARE,TOTAL,MIO_EUR,HR,13.47,14.32,14.98,15.56,16.23,16.62,17.65,18.93,20.14,22.06,23.85,25.16,26.43,,,,,,,,,,,,,,,,,,
SNTCPCARE,TOTAL,MIO_EUR,HU,89.09 p,97.37,98.54,100.93,100.53,101.80 b,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
