unit,hlth_pb,age,sex,time\geo,EU28 ,BE ,BG ,CZ ,DK ,DE ,EE ,IE ,EL ,ES ,FR ,HR ,IT ,CY ,LV ,LT ,LU ,HU ,MT ,NL ,AT ,PL ,PT ,RO ,SI ,SK ,FI ,SE ,IS ,CH ,UK ,TR 
PC,PB1071,Y25-34,T,2011,10.8 ,7.3 ,13.0 ,6.4 ,8.2 ,7.0 ,12.1 ,16.4 ,23.0 ,24.0 ,9.0 ,17.8 ,10.8 ,7.8 ,15.5 ,15.2 ,4.9 ,10.4 ,5.8 u,3.5 ,4.6 ,9.8 ,12.9 ,7.3 ,9.2 ,13.8 ,7.2 ,6.6 ,7.6 ,3.8 ,7.3 ,9.1 
PC,PB1071,Y25-64,F,2011,8.0 ,4.9 ,8.7 ,6.3 ,5.3 ,5.3 ,9.2 ,8.8 ,18.2 ,19.6 ,6.9 ,11.0 ,7.4 ,5.3 ,11.5 ,10.8 ,5.0 ,9.3 ,6 u,3.3 ,3.1 ,8.3 ,10.8 ,5.6 ,6.3 ,10.8 ,4.8 ,4.4 ,4.7 ,3.5 ,4.8 ,8.6 
PC,PB1071,Y25-64,M,2011,7.8 ,4.9 ,11.0 ,3.9 ,5.5 ,5.8 ,9.9 ,15.7 ,12.3 ,18.9 ,5.9 ,11.4 ,5.6 ,5.9 ,18.4 ,15.9 ,3.0 ,9.0 ,4.8 ,3.4 ,3.2 ,7.0 ,10.7 ,6.1 ,6.8 ,10.9 ,6.3 ,4.7 ,5.2 ,2.9 ,5.7 ,6.8 
PC,PB1071,Y25-64,T,2011,7.9 ,4.9 ,9.9 ,4.9 ,5.4 ,5.5 ,9.6 ,12.6 ,14.8 ,19.2 ,6.4 ,11.2 ,6.4 ,5.6 ,15.0 ,13.3 ,3.8 ,9.1 ,5.2 ,3.3 ,3.1 ,7.6 ,10.7 ,5.9 ,6.5 ,10.9 ,5.6 ,4.6 ,5.0 ,3.2 ,5.3 ,7.3 
PC,PB1071,Y35-44,F,2011,8.0 ,3.9 ,7.8 ,6.2 ,5.7 ,5.4 ,8.8 ,9.0 ,16.9 ,19.9 ,6.7 ,11.9 u,6.8 ,4.6 ,13.8 ,10.1 ,5.3 ,9.5 ,: u,3.3 u,2.8 u,7.0 ,10.1 ,6.4 ,4.3 u,10.8 ,3.5 ,4.6 ,: u,4.9 ,5.1 ,6.6 
PC,PB1071,Y35-44,M,2011,7.0 ,5.2 ,9.9 ,3.0 ,3.8 ,4.5 ,8.1 ,14.4 ,10.3 ,18.2 ,5.8 ,8.8 u,5.2 ,5.6 ,17.8 ,14.1 ,2.4 u,9.3 ,: u,3 u,2.9 ,5.7 ,9.1 ,5.2 ,5.7 u,8.6 ,5.1 ,3.7 ,: u,3.2 ,4.5 ,5.5 
PC,PB1071,Y35-44,T,2011,7.5 ,4.6 ,8.9 ,4.4 ,4.7 ,4.9 ,8.4 ,12.1 ,13.2 ,19.0 ,6.2 ,10.3 u,5.9 ,5.1 ,15.8 ,12.0 ,3.7 ,9.4 ,4.8 u,3.1 ,2.8 ,6.3 ,9.6 ,5.7 ,5.0 ,9.6 ,4.4 ,4.1 ,: u,4.0 ,4.8 ,5.8 
PC,PB1071,Y45-54,F,2011,6.3 ,4.2 ,7.3 ,5.2 ,3.5 ,4.7 ,8.3 ,6.8 ,12.6 ,16.8 ,5.1 ,7.4 u,4.8 ,5.4 ,10.5 ,11.6 ,4.2 u,8.1 ,: u,3.4 u,2.2 u,7.1 ,9.1 ,4.6 ,5.3 u,9.4 ,4.4 ,3.1 ,: u,3.2 ,3.8 ,5.8 
PC,PB1071,Y45-54,M,2011,6.4 ,3.5 ,10.5 ,3.4 ,5.0 ,4.9 ,9.3 ,13.0 ,9.6 ,16.1 ,4.1 ,7.9 u,4.0 ,2.9 u,18.3 ,15.1 ,2.8 u,7.9 ,: u,3 u,2.7 u,6.6 ,9.6 ,5.1 ,5.1 u,9.9 ,5.9 ,4.0 ,6.8 ,1.6 ,5.2 ,6.5 
PC,PB1071,Y45-54,T,2011,6.4 ,3.8 ,8.9 ,4.2 ,4.3 ,4.8 ,8.8 ,10.3 ,10.8 ,16.4 ,4.6 ,7.6 u,4.3 ,4.1 ,14.3 ,13.3 ,3.4 ,8.0 ,5.3 u,3.2 ,2.4 ,6.9 ,9.4 ,4.9 ,5.2 ,9.6 ,5.2 ,3.6 ,5.2 ,2.3 ,4.5 ,6.3 
PC,PB1071,Y55-64,F,2011,5.1 ,3.3 u,7.5 ,4.4 ,3.6 u,5.8 ,7 u,5.3 ,8.1 ,12.2 ,4.9 u,7.9 u,2.8 ,3.6 u,8.9 u,10.0 ,: u,6.8 ,: u,3.4 u,: u,4.9 ,9.4 ,: u,5.8 u,7.1 ,4.3 ,3.4 ,: u,1.8 u,2.5 ,2.3 
PC,PB1071,Y55-64,M,2011,6.5 ,2.3 u,8.9 ,4.5 ,5.7 ,5.7 ,9.7 u,10.6 ,7.1 ,14.5 ,5.4 u,9.8 u,3.6 ,4 u,18.9 ,14.9 ,: u,8.4 ,: u,4 u,: u,6.8 ,12.4 ,5.8 ,5.6 u,10.2 ,7.2 ,4.5 ,: u,2.7 ,5.1 ,6.4 
PC,PB1071,Y55-64,T,2011,5.9 ,2.7 ,8.3 ,4.5 ,4.8 ,5.8 ,8.2 ,8.4 ,7.5 ,13.6 ,5.2 ,9 u,3.3 ,3.8 ,13.6 ,12.4 ,: u,7.6 ,: u,3.7 ,2.2 u,6.1 ,11.1 ,4.1 ,5.7 u,9.0 ,5.8 ,4.0 ,: u,2.3 ,3.9 ,5.5 
