unit,lev_limit,age,sex,geo,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PC,NONE,Y16-24,M,MK,,32.3,32.3,34.3,33.5,29.7,30.9,39.6,40.1,44.1,42.0,
PC,NONE,Y16-24,M,MT,,1.7,2.8,3.6,4.1,5.8,12.5,13.9,13.3,10.8,5.9,8.3
PC,NONE,Y16-24,M,NL,,0.0,0.8,1.6,2.1,0.4,1.2,0.9,1.3,0.4,3.5,4.1
PC,NONE,Y16-24,M,NO,,1.4,4.0,2.1,3.0,1.7,1.7,1.7,3.0,1.7,1.3,2.9
PC,NONE,Y16-24,M,PL,,3.4,2.5,4.6,5.9,7.2,8.3,11.3,13.0,14.4,12.9,14.1
PC,NONE,Y16-24,M,PT,,6.5,7.1,8.6,9.0,9.7,11.1,11.1,14.2,9.3,7.8,10.3
PC,NONE,Y16-24,M,RO,14.2,18.0,16.4,16.6,22.4,27.7,26.2,32.5,33.1,33.0,33.2,32.1
PC,NONE,Y16-24,M,RS,,11.2,14.2,14.7,17.2,22.3,24.5,31.3,30.6,,,
PC,NONE,Y16-24,M,SE,2.3,1.9,1.5,1.4,1.0,2.0,3.0,0.9,2.3,1.2,2.4,2.2
PC,NONE,Y16-24,M,SI,,2.1,2.7,3.5,5.5,4.3,3.9,5.4,6.4,6.8,7.3,6.2
PC,NONE,Y16-24,M,SK,,8.8,11.1,7.2,7.4,10.3,10.5,12.9,13.8,11.0,10.4,13.7
PC,NONE,Y16-24,M,TR,,30.3,29.8,29.6,30.1,35.9,29.1,29.2,44.5,58.6,59.7,60.7
PC,NONE,Y16-24,M,UK,,,,6.0,4.6 b,7.4,9.0,11.3,11.9,11.3,6.4,5.2
PC,NONE,Y16-24,M,XK,,,,42.6,,,,,,,,
PC,NONE,Y16-24,T,AL,,34.4,36.8,37.3,38.3,,,,,,,
PC,NONE,Y16-24,T,AT,2.9,2.2,2.6,2.5,3.4,3.0,4.2,4.6,3.0,3.4,3.8,4.4
PC,NONE,Y16-24,T,BE,4.4,4.6,4.5 b,5.8,5.3,7.0,6.1,8.8,7.0,8.2,6.2,7.7
PC,NONE,Y16-24,T,BG,18.2,21.8,20.6,20.9,37.1,35.7,36.1,31.5,43.0,44.9,44.6,46.8
PC,NONE,Y16-24,T,CH,,0.5,1.0,2.7,0.6,2.2,1.0,0.6,0.6,1.2,2.0,1.5
PC,NONE,Y16-24,T,CY,,10.6,12.8,13.4,14.4,18.6,20.8,22.8,21.2,20.8,14.7,15.8
PC,NONE,Y16-24,T,CZ,2.9,2.9,5.2,6.1,5.5,8.2,6.9,7.4,9.1,10.0,7.1,9.0
PC,NONE,Y16-24,T,DE,4.6,5.5 b,2.4,2.9,3.0,3.5,4.1,4.1,4.6,3.4,4.9,4.9
PC,NONE,Y16-24,T,DK,0.7,2.3,2.0,4.1,4.0,2.3,6.5,5.0,4.3,2.6,2.1,2.8
PC,NONE,Y16-24,T,EA,,6.8,5.3,5.9 e,6.4 e,7.3 e,8.0 e,8.4 e,8.6 e,8.3 e,7.5 e,7.3 e
