unit,lev_limit,age,sex,geo,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PC,NONE,Y_GE16,F,SE,2.4,2.5,2.2,2.4,2.1,2.2,1.9,1.7,2.0,2.1,1.4
PC,NONE,Y_GE16,F,SI,2.6,3.7,3.7,3.9,4.5,5.3,5.9,6.0,7.5,8.3,13.8
PC,NONE,Y_GE16,F,SK,2.5,3.3,3.1,4.1,4.1,3.5,3.7,3.6,4.4,4.2,3.5
PC,NONE,Y_GE16,F,TR,19.5,21.1,21.3,22.1,23.1,23.2,23.1,23.8,25.2,25.0,25.5
PC,NONE,Y_GE16,F,UK,,,1.4,0.7 b,1.7,1.9,2.2,1.8,1.8,2.0,2.5
PC,NONE,Y_GE16,F,XK,,,18.9,,,,,,,,
PC,NONE,Y_GE16,M,AL,14.8,20.9,24.1,22.5,,,,,,,
PC,NONE,Y_GE16,M,AT,2.5,2.4,2.4,3.6,3.1,3.7,3.1,2.9,2.7,3.4,3.5
PC,NONE,Y_GE16,M,BE,1.9,1.6 b,1.8,2.2,1.6 b,0.9,0.8,1.0,0.4,1.0,1.5
PC,NONE,Y_GE16,M,BG,8.6,8.9,9.8,9.8,10.7,10.0,10.6,11.0,10.8,12.2,13.0
PC,NONE,Y_GE16,M,CH,1.7,1.5,2.7,1.9,1.3,1.5,1.0,1.5,1.5,1.4,0.8
PC,NONE,Y_GE16,M,CY,1.9,1.2,0.7,0.9,1.4,0.5,1.6,1.7,1.3,1.7,2.1
PC,NONE,Y_GE16,M,CZ,1.2,1.1,1.8,1.6,1.6,1.9,1.5,2.3,2.6,3.6,3.9
PC,NONE,Y_GE16,M,DE,1.3 b,1.8,1.8,1.4,1.7,1.5,1.5,1.3,1.4,1.6,1.9
PC,NONE,Y_GE16,M,DK,3.2,3.6,3.7,2.9,1.7,2.7,2.4,2.5,2.3,1.8,0.6
PC,NONE,Y_GE16,M,EA,3.3,2.6 e,2.6 e,2.6 e,3.2 e,3.3 e,3.4 e,3.2 e,3.2 e,3.4 e,3.3 e
PC,NONE,Y_GE16,M,EA18,3.3,2.6 e,2.6,2.6,3.1,3.3,3.4,3.3,3.3,3.5,3.5
PC,NONE,Y_GE16,M,EA19,3.3,2.6 e,2.6,2.6,3.2,3.3,3.4,3.3,3.3,3.5,3.6
PC,NONE,Y_GE16,M,EE,1.2,1.9,2.1,3.0,2.5,2.1,2.4,4.6,3.8,3.9,10.3
PC,NONE,Y_GE16,M,EL,5.6,6.0,5.7,6.0,6.0,6.4,5.4,6.9,7.3,7.7,7.3
PC,NONE,Y_GE16,M,ES,2.6,1.4,1.2,1.0,1.3,1.3,1.4,1.8,1.2,2.0,1.9
PC,NONE,Y_GE16,M,EU,,3.4 e,3.4,3.5,4.3,4.3,4.5,4.7,4.6,4.9,5.3
PC,NONE,Y_GE16,M,EU27_2007,,3.4 e,3.4,3.5,4.3,4.3,4.5,4.6,4.5,4.9,5.2
PC,NONE,Y_GE16,M,EU27_2020,4.2 e,3.7 e,3.7 e,4.0 e,4.6 e,4.7 e,4.9 e,5.1 e,5.1 e,5.4 e,5.7 e
PC,NONE,Y_GE16,M,EU28,,3.4 e,3.4,3.5,4.3,4.3,4.5,4.7,4.6,4.9,5.3
PC,NONE,Y_GE16,M,FI,1.1,0.7,0.7,0.6,0.6,0.8,0.5,0.5,0.6,0.6,0.4
PC,NONE,Y_GE16,M,FR,3.1 b,1.9,2.3,1.8,2.2,2.0,2.0,2.0,2.6,2.4,3.1
PC,NONE,Y_GE16,M,HR,4.4,5.3,6.0,5.5,7.1,6.8,7.6,7.7,8.7,7.3,10.0
PC,NONE,Y_GE16,M,HU,5.8,5.6,6.1,13.6,15.0,13.5,15.9,15.6,15.2,13.7,16.3
PC,NONE,Y_GE16,M,IE,0.9 b,1.0,0.6,0.5,0.4,0.7,1.3,1.2,0.6,0.5,0.4
PC,NONE,Y_GE16,M,IS,,,1.4,1.5,1.2,1.8,1.6,2.4,1.5,1.2,0.7
PC,NONE,Y_GE16,M,IT,6.0,4.7,4.8,5.8,7.6,9.4,9.3,8.3,8.1,8.5,6.7
PC,NONE,Y_GE16,M,LT,4.3,5.7,5.8,6.8,8.1,7.1,8.9,8.1,7.1,6.5,13.7
PC,NONE,Y_GE16,M,LU,0.6 b,1.5,2.1,2.0,1.6,1.3,1.5,1.5,2.4,2.0,2.2
PC,NONE,Y_GE16,M,LV,10.3,10.4,12.9,14.2,13.2,13.8,15.0,15.8,14.8,16.6,21.1
PC,NONE,Y_GE16,M,ME,15.4,17.7,16.6,14.6,16.5,21.8,19.4,21.1,,,
PC,NONE,Y_GE16,M,MK,8.4,8.5,9.5,9.2,11.2,8.9,10.6,11.4,11.4,12.7,4.8
PC,NONE,Y_GE16,M,MT,0.7,0.8,0.6,0.9,1.2,1.2,1.4,1.4,0.9,1.3,1.1
PC,NONE,Y_GE16,M,NL,1.2,1.0,0.8,1.2,1.0,0.8,0.6,1.2,1.1,0.2,0.6
PC,NONE,Y_GE16,M,NO,0.8,1.2,0.8,0.5,0.6,0.5,0.8,1.1,0.8,0.7,0.9
PC,NONE,Y_GE16,M,PL,,6.3,7.4,7.9,8.1,8.2,7.8,9.0,9.4,10.8,12.2
PC,NONE,Y_GE16,M,PT,3.7,3.6,3.5,3.6,4.6,4.1,5.3,5.5,3.9,3.8,4.6
PC,NONE,Y_GE16,M,RO,13.7,13.3,14.3,16.7,18.8,18.9,19.3,20.7,21.4,22.3,24.6
PC,NONE,Y_GE16,M,RS,8.4,12.4,10.1,12.7,14.6,15.0,16.8,14.5,,,
PC,NONE,Y_GE16,M,SE,1.7,1.9,1.8,1.6,2.1,1.6,1.3,1.4,0.8,1.8,2.2
PC,NONE,Y_GE16,M,SI,2.5,3.5,4.8,4.1,4.4,5.0,5.6,6.1,8.1,7.2,13.2
PC,NONE,Y_GE16,M,SK,3.2,3.0,3.2,4.3,3.5,3.4,3.9,3.9,4.5,3.8,3.1
PC,NONE,Y_GE16,M,TR,19.7,21.1,21.3,22.0,23.4,23.0,23.2,23.6,24.6,24.6,25.9
PC,NONE,Y_GE16,M,UK,,,1.2,0.5 b,2.2,1.6,2.1,2.3,1.5,2.2,2.3
PC,NONE,Y_GE16,M,XK,,,18.4,,,,,,,,
PC,NONE,Y_GE16,T,AL,15.0,20.8,23.3,21.1,,,,,,,
PC,NONE,Y_GE16,T,AT,2.5,2.4,2.3,3.6,3.3,3.7,3.0,3.0,3.0,3.2,3.5
PC,NONE,Y_GE16,T,BE,1.8,1.6 b,1.7,2.0,1.5 b,0.6,0.8,0.9,0.4,0.8,1.5
PC,NONE,Y_GE16,T,BG,8.1,8.5,9.5,9.8,10.4,9.9,10.6,10.8,11.0,12.6,13.3
PC,NONE,Y_GE16,T,CH,1.5,1.5,2.5,1.8,1.6,1.5,1.0,1.3,1.4,1.5,1.0
PC,NONE,Y_GE16,T,CY,1.8,1.2,1.0,0.8,1.4,0.4,1.3,1.5,1.2,1.7,1.6
PC,NONE,Y_GE16,T,CZ,1.5,1.4,1.8,1.9,2.2,2.4,2.0,2.8,2.9,3.9,3.9
PC,NONE,Y_GE16,T,DE,1.4 b,1.8,1.9,1.6,1.8,1.6,1.5,1.4,1.5,1.9,1.8
PC,NONE,Y_GE16,T,DK,2.4,3.0,2.9,2.4,1.4,2.3,2.0,1.9,2.1,1.8,0.8
PC,NONE,Y_GE16,T,EA,3.3,2.5 e,2.5 e,2.6 e,3.1 e,3.3 e,3.3 e,3.1 e,3.1 e,3.4 e,3.2 e
PC,NONE,Y_GE16,T,EA18,3.3,2.5 e,2.5,2.5,3.1,3.3,3.3,3.2,3.2,3.4,3.4
PC,NONE,Y_GE16,T,EA19,3.3,2.5 e,2.5,2.6,3.1,3.3,3.3,3.2,3.2,3.5,3.5
PC,NONE,Y_GE16,T,EE,1.4,2.0,2.3,2.6,2.5,2.3,3.0,5.0,4.0,4.1,9.9
PC,NONE,Y_GE16,T,EL,5.4,5.6,5.5,5.8,6.0,6.3,5.5,6.5,6.8,7.1,7.2
PC,NONE,Y_GE16,T,ES,2.7,1.3,1.2,1.0,1.4,1.3,1.4,1.6,1.1,1.9,1.7
PC,NONE,Y_GE16,T,EU,,3.3 e,3.3,3.5,4.2,4.3,4.4,4.5,4.5,4.9,5.2
PC,NONE,Y_GE16,T,EU27_2007,,3.3 e,3.3,3.5,4.2,4.3,4.4,4.5,4.5,4.9,5.1
PC,NONE,Y_GE16,T,EU27_2020,4.2 e,3.6 e,3.6 e,3.9 e,4.5 e,4.7 e,4.8 e,4.9 e,5.0 e,5.3 e,5.6 e
PC,NONE,Y_GE16,T,EU28,,3.3 e,3.3,3.5,4.2,4.3,4.4,4.5,4.5,4.9,5.2
PC,NONE,Y_GE16,T,FI,1.0,0.7,0.9,0.7,0.6,0.6,0.4,0.6,0.6,0.7,0.7
PC,NONE,Y_GE16,T,FR,3.2 b,1.9,2.3,1.9,2.3,2.0,2.0,1.9,2.3,2.3,2.8
PC,NONE,Y_GE16,T,HR,4.5,5.3,5.7,5.7,6.4,6.6,7.3,8.0,9.1,8.1,9.8
PC,NONE,Y_GE16,T,HU,5.8,5.9,6.2,13.6,14.6,13.6,15.5,15.3,14.8,13.6,15.8
PC,NONE,Y_GE16,T,IE,0.9 b,0.9,0.6,0.5,0.8,0.8,1.3,1.3,0.6,0.6,0.4
PC,NONE,Y_GE16,T,IS,,,1.3,1.4,1.2,2.0,1.6,2.4,2.0,1.6,1.0
PC,NONE,Y_GE16,T,IT,6.1,4.5,4.3,5.3,7.2,9.1,8.7,8.0,8.0,8.4,6.6
PC,NONE,Y_GE16,T,LT,4.8,6.0,5.9,7.3,8.2,7.6,9.6,8.5,6.9,6.4,13.5
PC,NONE,Y_GE16,T,LU,0.8 b,1.3,2.0,2.3,1.8,1.4,1.4,1.6,2.0,1.8,2.0
PC,NONE,Y_GE16,T,LV,10.3,11.1,12.9,13.9,13.1,13.3,14.6,14.9,14.7,16.4,20.2
PC,NONE,Y_GE16,T,ME,15.5,17.6,16.9,14.6,16.8,22.7,19.4,21.5,,,
PC,NONE,Y_GE16,T,MK,8.0,8.2,9.2,9.0,10.7,8.6,10.4,10.5,11.2,12.3,14.8
PC,NONE,Y_GE16,T,MT,0.9,1.0,0.8,1.1,1.2,1.1,1.3,1.3,0.9,1.5,1.2
PC,NONE,Y_GE16,T,NL,1.2,1.2,1.0,1.0,1.0,1.1,0.6,0.7,1.1,0.4,0.5
PC,NONE,Y_GE16,T,NO,0.9,1.2,0.8,0.7,0.8,0.6,0.7,1.1,0.9,1.0,1.0
PC,NONE,Y_GE16,T,PL,,6.5,7.1,7.8,7.9,8.1,7.6,8.7,9.3,10.3,12.2
PC,NONE,Y_GE16,T,PT,3.5,3.6,3.9,3.5,4.4,4.3,5.3,5.3,3.8,3.7,5.0
PC,NONE,Y_GE16,T,RO,12.8,12.9,14.3,15.9,18.2,18.2,18.5,20.0,20.7,22.1,23.3
PC,NONE,Y_GE16,T,RS,8.0,12.8,10.2,13.1,14.4,15.3,16.3,14.8,,,
PC,NONE,Y_GE16,T,SE,2.0,2.2,2.0,2.0,2.1,1.9,1.6,1.5,1.4,1.9,1.8
PC,NONE,Y_GE16,T,SI,2.5,3.6,4.2,4.0,4.4,5.1,5.8,6.0,7.8,7.7,13.5
PC,NONE,Y_GE16,T,SK,2.8,3.1,3.2,4.2,3.8,3.5,3.8,3.8,4.5,4.0,3.3
PC,NONE,Y_GE16,T,TR,19.6,21.1,21.3,22.1,23.3,23.1,23.1,23.7,24.9,24.8,25.7
PC,NONE,Y_GE16,T,UK,,,1.3,0.6 b,2.0,1.8,2.1,2.0,1.6,2.1,2.4
PC,NONE,Y_GE16,T,XK,,,18.7,,,,,,,,
PC,NONE,Y_GE65,F,AL,11.4,11.5,10.1,9.9,,,,,,,
PC,NONE,Y_GE65,F,AT,0.3,0.4,1.7,1.5,1.0,0.7,0.1,0.1,0.5,0.3,0.4
PC,NONE,Y_GE65,F,BE,0.4,0.5 b,0.6,0.7,0.2 b,0.0,0.0,0.0,0.0,0.0,0.7
PC,NONE,Y_GE65,F,BG,2.5,2.7,3.3,3.5,3.7,3.1,4.2,3.8,5.1,5.8,8.4
PC,NONE,Y_GE65,F,CH,0.0,0.3,0.3,0.1,0.2,0.1,0.0,0.0 n,0.1,0.4,0.2
PC,NONE,Y_GE65,F,CY,0.0,0.0,0.1,0.0,0.2,0.3,0.2,0.3,0.2,0.5,0.1
PC,NONE,Y_GE65,F,CZ,0.2,0.2,0.4,0.1,0.7,1.2,0.7,1.1,0.8,1.2,1.1
PC,NONE,Y_GE65,F,DE,0.1 b,0.1,0.2,0.1,0.0 n,0.2,0.2,0.1,0.2,0.4,0.0
PC,NONE,Y_GE65,F,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC,NONE,Y_GE65,F,EA,0.8,0.5 e,0.5 e,0.7 e,0.6 e,0.6 e,0.7 e,0.6 e,0.7 e,0.9 e,0.9 e
PC,NONE,Y_GE65,F,EA18,0.8,0.5 e,0.5,0.6,0.6,0.6,0.7,0.6,0.7,0.9,0.9
PC,NONE,Y_GE65,F,EA19,0.8,0.5 e,0.5,0.7,0.6,0.6,0.8,0.7,0.8,0.9,1.0
PC,NONE,Y_GE65,F,EE,0.5,0.3,0.8,1.2,0.7,0.8,2.3,3.9,3.0,3.2,3.3
PC,NONE,Y_GE65,F,EL,2.2,1.9,1.8,2.2,3.0,2.8,1.6,2.1,3.4,4.3,3.9
PC,NONE,Y_GE65,F,ES,0.9,0.3,0.4,0.4,0.2,0.1,0.4,0.1,0.4,0.1,0.4
PC,NONE,Y_GE65,F,EU,,0.8 e,0.8,0.9,1.0,1.1,1.3,1.2,1.4,1.5,1.8
PC,NONE,Y_GE65,F,EU27_2007,,0.8 e,0.8,0.9,1.0,1.1,1.2,1.2,1.4,1.5,1.8
PC,NONE,Y_GE65,F,EU27_2020,1.2 e,1.0 e,1.0 e,1.1 e,1.1 e,1.2 e,1.5 e,1.4 e,1.6 e,1.8 e,2.1 e
PC,NONE,Y_GE65,F,EU28,,0.8 e,0.8,0.9,1.0,1.1,1.3,1.2,1.4,1.5,1.8
PC,NONE,Y_GE65,F,FI,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.7,0.1,0.9,0.9
PC,NONE,Y_GE65,F,FR,0.3 b,0.0,0.2,0.2,0.3,0.4,0.5,0.1,0.3,0.2,0.0 n
PC,NONE,Y_GE65,F,HR,3.6,3.9,2.6,3.3,1.8,2.0,3.3,2.8,5.1,4.2,7.2
PC,NONE,Y_GE65,F,HU,2.3,1.6,1.9,4.6,4.9,5.5,5.7,5.8,6.2,5.3,6.5
PC,NONE,Y_GE65,F,IE,0.2 b,0.0,0.0,0.0,0.0 n,0.0,0.0,0.0,0.3,0.0,0.0
PC,NONE,Y_GE65,F,IS,,,0.5,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.5
PC,NONE,Y_GE65,F,IT,1.8,1.6,1.0,1.9,1.7,1.6,1.9,1.6,1.8,2.7,2.3
PC,NONE,Y_GE65,F,LT,1.1,5.3,1.8,3.2,2.2,3.4,4.2,6.6,3.5,4.0,9.9
PC,NONE,Y_GE65,F,LU,0.0 b,0.0,0.8,0.1,0.5,0.4,0.0,0.7,0.0 n,1.0,0.3
PC,NONE,Y_GE65,F,LV,7.3,5.3,8.9,10.7,6.7,6.0,7.9,6.4,9.7,8.2,11.0
PC,NONE,Y_GE65,F,ME,11.3,12.9,9.9,7.4,8.6,15.0,12.3,14.3,,,
PC,NONE,Y_GE65,F,MK,3.2,4.5,4.7,5.7,9.5,6.2,6.4,6.0,7.9,6.6,
PC,NONE,Y_GE65,F,MT,0.2,0.1,0.4,0.1,0.2,0.0,0.3,0.4,0.5,0.9,1.0
PC,NONE,Y_GE65,F,NL,0.0,0.1,0.0 n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
PC,NONE,Y_GE65,F,NO,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC,NONE,Y_GE65,F,PL,,4.0,3.7,3.4,3.4,4.7,4.8,5.5,5.9,7.9,9.1
PC,NONE,Y_GE65,F,PT,1.0,0.8,0.8,0.4,1.5,1.6,2.4,3.3,1.5,2.7,2.4
PC,NONE,Y_GE65,F,RO,5.2,4.3,5.9,4.6,7.4,8.0,7.9,6.0,7.9,8.3,9.5
PC,NONE,Y_GE65,F,RS,6.6,9.7,7.2,10.7,10.2,11.9,10.9,10.6,,,
PC,NONE,Y_GE65,F,SE,0.5,0.6,0.0,0.6,0.3,0.0,0.0,0.0,0.1,0.1,0.0
PC,NONE,Y_GE65,F,SI,1.6,1.0,1.1,0.6,1.0,1.7,2.0,2.3,1.1,1.8,7.6
PC,NONE,Y_GE65,F,SK,0.8,1.2,1.4,0.5,1.9,1.8,1.4,1.2,3.2,2.1,0.0
PC,NONE,Y_GE65,F,TR,10.3,11.0,10.2,13.1,13.6,13.9,14.0,13.9,18.1,15.8,14.6
PC,NONE,Y_GE65,F,UK,,,0.0,0.1 b,0.1,0.6,0.2,0.2,0.1,0.0,0.1
PC,NONE,Y_GE65,F,XK,,,12.5,,,,,,,,
PC,NONE,Y_GE65,M,AL,6.5,5.4,9.9,10.0,,,,,,,
PC,NONE,Y_GE65,M,AT,0.2,0.7,0.0,0.3,1.0,0.5,1.0,1.8,0.7,0.5,0.3
PC,NONE,Y_GE65,M,BE,0.3,0.3 b,0.0,0.0,0.2 b,0.0,0.0,0.2,0.2,0.3,0.3
PC,NONE,Y_GE65,M,BG,2.7,2.5,2.7,2.9,3.4,2.5,3.1,2.7,3.7,5.2,5.0
PC,NONE,Y_GE65,M,CH,0.4,0.2,0.2,0.5,0.0,0.0,0.7,0.0,0.1,0.3,0.1
PC,NONE,Y_GE65,M,CY,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.7,0.4,0.6,0.8
PC,NONE,Y_GE65,M,CZ,0.1,0.0,0.3,0.0,0.0,0.0,0.8,0.8,0.6,0.5,1.5
PC,NONE,Y_GE65,M,DE,0.1 b,0.9,0.4,0.3,0.3,0.3,0.2,0.5,0.0 n,0.4,0.4
PC,NONE,Y_GE65,M,DK,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.0,0.0
PC,NONE,Y_GE65,M,EA,0.7,0.6 e,0.6 e,0.6 e,0.7 e,0.6 e,0.8 e,0.9 e,0.6 e,0.9 e,1.1 e
PC,NONE,Y_GE65,M,EA18,0.7,0.6 e,0.6,0.6,0.7,0.6,0.8,0.9,0.6,1.0,1.1
PC,NONE,Y_GE65,M,EA19,0.7,0.6 e,0.6,0.6,0.7,0.6,0.8,1.0,0.6,1.0,1.2
PC,NONE,Y_GE65,M,EE,0.3,0.7,0.3,1.4,0.1,0.9,0.5,0.5,1.0,1.7,4.9
PC,NONE,Y_GE65,M,EL,1.3,1.2,1.0,1.7,1.6,2.8,1.5,2.4,2.2,2.6,3.2
PC,NONE,Y_GE65,M,ES,0.7,0.3,0.3,0.3,0.2,0.3,0.2,0.1,0.1,0.5,0.6
PC,NONE,Y_GE65,M,EU,,0.9 e,0.9,0.9,1.0,0.9,1.2,1.3,1.1,1.4,1.5
PC,NONE,Y_GE65,M,EU27_2007,,0.9 e,0.9,0.9,0.9,0.9,1.2,1.3,1.0,1.3,1.5
PC,NONE,Y_GE65,M,EU27_2020,1.1 e,1.0 e,1.0 e,1.0 e,1.1 e,1.0 e,1.3 e,1.5 e,1.3 e,1.6 e,1.8 e
PC,NONE,Y_GE65,M,EU28,,0.9 e,0.9,0.9,1.0,0.9,1.2,1.3,1.1,1.4,1.5
PC,NONE,Y_GE65,M,FI,0.3,0.6,0.3,0.7,0.5,0.7,0.5,0.2,0.6,0.3,0.0
PC,NONE,Y_GE65,M,FR,0.5 b,0.3,0.3,0.5,0.2,0.3,1.0,0.7,0.0,0.6,0.9
PC,NONE,Y_GE65,M,HR,0.9,1.8,3.1,1.3,2.3,3.4,3.4,3.8,4.1,3.8,3.2
PC,NONE,Y_GE65,M,HU,1.2,2.1,1.7,4.4,3.7,1.8,3.2,3.3,4.3,4.3,5.6
PC,NONE,Y_GE65,M,IE,0.0 b,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0
PC,NONE,Y_GE65,M,IS,,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC,NONE,Y_GE65,M,IT,1.8,1.7,1.7,1.5,2.2,1.9,2.2,2.5,2.2,2.5,2.6
PC,NONE,Y_GE65,M,LT,0.2,0.9,2.3,1.6,0.9,1.7,3.8,8.3,1.1,1.3,6.4
PC,NONE,Y_GE65,M,LU,0.0 b,0.0,0.6,0.6,0.2,0.3,0.6,0.3,0.2,0.0,0.0
PC,NONE,Y_GE65,M,LV,4.6,6.4,6.6,4.8,5.0,5.3,5.2,7.8,5.9,7.1,13.4
PC,NONE,Y_GE65,M,ME,8.0,10.4,10.1,8.8,9.1,9.1,11.5,11.8,,,
PC,NONE,Y_GE65,M,MK,3.8,4.1,2.8,6.5,9.0,5.1,4.8,5.8,4.9,5.9,0 u
PC,NONE,Y_GE65,M,MT,0.0,0.0,0.2,0.1,0.4,0.7,0.3,0.7,0.5,0.4,0.4
PC,NONE,Y_GE65,M,NL,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC,NONE,Y_GE65,M,NO,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
PC,NONE,Y_GE65,M,PL,,4.2,4.4,4.2,3.9,5.1,5.3,5.3,5.1,5.1,6.3
PC,NONE,Y_GE65,M,PT,1.0,0.8,0.9,0.6,0.9,1.1,0.7,1.7,1.3,1.4,0.6
PC,NONE,Y_GE65,M,RO,4.6,4.1,4.6,5.1,5.4,5.5,6.1,7.0,7.0,6.6,7.3
PC,NONE,Y_GE65,M,RS,5.2,6.5,5.4,7.3,8.4,8.6,8.8,6.7,,,
PC,NONE,Y_GE65,M,SE,0.6,0.6,0.6,0.3,0.5,0.0,0.5,0.2,0.0,0.7,0.4
PC,NONE,Y_GE65,M,SI,0.6,0.3,0.1,0.6,0.0,1.0,1.2,1.1,2.2,1.0,3.5
PC,NONE,Y_GE65,M,SK,1.9,1.7,1.3,1.1,0.9,0.8,1.2,0.0,2.1,1.2,0.9
PC,NONE,Y_GE65,M,TR,8.7,8.4,9.0,10.7,12.2,12.1,13.1,12.8,13.5,12.5,12.3
PC,NONE,Y_GE65,M,UK,,,0.1,0.0 b,0.1,0.2,0.4,0.2,0.0,0.1,0.1
PC,NONE,Y_GE65,M,XK,,,11.7,,,,,,,,
PC,NONE,Y_GE65,T,AL,8.7,8.0,10.0,10.0,,,,,,,
PC,NONE,Y_GE65,T,AT,0.3,0.5,0.9,0.9,1.0,0.6,0.5,0.9,0.6,0.4,0.4
PC,NONE,Y_GE65,T,BE,0.3,0.4 b,0.3,0.4,0.2 b,0.0,0.0,0.1,0.1,0.1,0.5
PC,NONE,Y_GE65,T,BG,2.6,2.6,3.1,3.2,3.6,2.8,3.7,3.4,4.5,5.5,7.0
PC,NONE,Y_GE65,T,CH,0.2,0.2,0.2,0.3,0.1,0.1,0.3,0.0 n,0.1,0.3,0.1
PC,NONE,Y_GE65,T,CY,0.0,0.0,0.1,0.0,0.1,0.1,0.2,0.5,0.3,0.6,0.5
PC,NONE,Y_GE65,T,CZ,0.1,0.1,0.3,0.1,0.4,0.7,0.7,1.0,0.7,0.9,1.2
PC,NONE,Y_GE65,T,DE,0.1 b,0.5,0.3,0.2,0.2,0.2,0.2,0.3,0.1,0.4,0.2
PC,NONE,Y_GE65,T,DK,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0
PC,NONE,Y_GE65,T,EA,0.8,0.5 e,0.5 e,0.6 e,0.6 e,0.6 e,0.8 e,0.8 e,0.7 e,0.9 e,1.0 e
PC,NONE,Y_GE65,T,EA18,0.8,0.5 e,0.5,0.6,0.6,0.6,0.8,0.8,0.7,0.9,1.0
PC,NONE,Y_GE65,T,EA19,0.8,0.5 e,0.5,0.6,0.6,0.6,0.8,0.8,0.7,1.0,1.1
PC,NONE,Y_GE65,T,EE,0.5,0.4,0.6,1.3,0.5,0.8,1.6,2.7,2.2,2.6,4.0
PC,NONE,Y_GE65,T,EL,1.8,1.5,1.4,2.0,2.3,2.8,1.6,2.3,2.8,3.4,3.6
PC,NONE,Y_GE65,T,ES,0.8,0.3,0.3,0.3,0.2,0.2,0.3,0.1,0.3,0.3,0.5
PC,NONE,Y_GE65,T,EU,,0.9 e,0.9,0.9,1.0,1.0,1.2,1.2,1.2,1.4,1.7
PC,NONE,Y_GE65,T,EU27_2007,,0.9 e,0.9,0.9,1.0,1.0,1.2,1.2,1.2,1.4,1.6
PC,NONE,Y_GE65,T,EU27_2020,1.2 e,1.0 e,1.0 e,1.0 e,1.1 e,1.1 e,1.4 e,1.4 e,1.4 e,1.7 e,2.0 e
PC,NONE,Y_GE65,T,EU28,,0.9 e,0.9,0.9,1.0,1.0,1.2,1.2,1.2,1.4,1.7
PC,NONE,Y_GE65,T,FI,0.2,0.4,0.4,0.3,0.2,0.3,0.2,0.5,0.3,0.6,0.5
PC,NONE,Y_GE65,T,FR,0.4 b,0.2,0.2,0.3,0.3,0.3,0.7,0.4,0.2,0.4,0.4
PC,NONE,Y_GE65,T,HR,2.4,3.0,2.9,2.3,2.0,2.6,3.3,3.3,4.7,4.0,5.4
PC,NONE,Y_GE65,T,HU,1.8,1.8,1.8,4.5,4.4,4.0,4.6,4.7,5.4,4.9,6.1
PC,NONE,Y_GE65,T,IE,0.1 b,0.1,0.0,0.0,0.1,0.0 n,0.0 n,0.1,0.2,0.0,0.0
PC,NONE,Y_GE65,T,IS,,,0.2,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3
PC,NONE,Y_GE65,T,IT,1.8,1.6,1.3,1.7,1.9,1.7,2.0,2.1,2.0,2.6,2.4
PC,NONE,Y_GE65,T,LT,0.8,3.5,2.0,2.5,1.7,2.7,4.0,7.3,2.6,3.0,8.5
PC,NONE,Y_GE65,T,LU,0.0 b,0.0,0.7,0.3,0.3,0.3,0.3,0.5,0.1,0.5,0.2
PC,NONE,Y_GE65,T,LV,6.2,5.8,8.0,8.4,6.0,5.7,6.9,7.0,8.4,7.8,11.8
PC,NONE,Y_GE65,T,ME,9.7,11.7,10.0,8.1,8.8,12.0,11.9,12.9,,,
PC,NONE,Y_GE65,T,MK,3.5,4.3,3.8,6.1,9.2,5.7,5.6,5.9,6.4,6.3,2.2 u
PC,NONE,Y_GE65,T,MT,0.1,0.1,0.3,0.1,0.3,0.3,0.3,0.5,0.5,0.6,0.7
PC,NONE,Y_GE65,T,NL,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
PC,NONE,Y_GE65,T,NO,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
PC,NONE,Y_GE65,T,PL,,4.1,4.0,3.7,3.6,4.8,5.0,5.4,5.6,6.8,8.0
PC,NONE,Y_GE65,T,PT,1.0,0.8,0.8,0.5,1.2,1.4,1.5,2.5,1.4,2.0,1.5
PC,NONE,Y_GE65,T,RO,4.9,4.2,5.2,4.8,6.4,6.8,7.1,6.5,7.5,7.2,8.4
PC,NONE,Y_GE65,T,RS,5.9,8.2,6.4,9.2,9.4,10.4,10.0,8.8,,,
PC,NONE,Y_GE65,T,SE,0.6,0.6,0.3,0.5,0.4,0.0,0.2,0.1,0.1,0.4,0.2
PC,NONE,Y_GE65,T,SI,1.2,0.7,0.6,0.6,0.6,1.4,1.6,1.7,1.6,1.4,5.9
