unit,hlth_pb,worktime,age,sex,time,EU28,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,IS,CH,UK,TR
THS,PB1041,NRP,Y25-34,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,10.73,:
THS,PB1041,NRP,Y35-44,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1041,NRP,Y35-44,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1041,NRP,Y35-44,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1041,NRP,Y45-54,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,3.386 u,: u,:
THS,PB1041,NRP,Y45-54,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1041,NRP,Y45-54,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,5.058 u,: u,:
THS,PB1041,NRP,Y55-64,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1041,NRP,Y55-64,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1041,NRP,Y55-64,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,2.022 u,: u,:
THS,PB1041,PT,TOTAL,F,2011,24588.992,771.513,26.93,140.996,411.945,5667.06,31.978,287.507,133.6,1734.035,2667.512,50.048,2364.532,20.214,32.184,51.388,25.406,117.433,13.581,2634.901,643.949,604.781,215.676,341.997,38.324,48.351,166.26,662.891,17.336,863.33,4684.002,1234.982
THS,PB1041,PT,TOTAL,M,2011,7345.084,184.411,22.246,38.743,171.989,1094.726,11.946,111.426,83.746,562.245,650.5,29.778 u,602.693,10.693,19.908,32.647,3.937,70.501,4.764,955.763,108.502,315.232,122.763,368.221,26.512,28.542,89.126,218.085,6.278,208.784,1405.436,804.808
THS,PB1041,PT,TOTAL,T,2011,31934.076,955.923,49.176,179.739,583.934,6761.786,43.924,398.932,217.346,2296.28,3318.012,79.826,2967.225,30.907,52.093,84.035,29.343,187.934,18.345,3590.665,752.451,920.013,338.439,710.217,64.836,76.893,255.386,880.976,23.615,1072.115,6089.437,2039.791
THS,PB1041,PT,Y15-24,F,2011,3039.028,48.774,: u,15.5,141.682,404.503,6.092,45.045,14.631,213.883,278.129,: u,150.829,2.464,: u,: u,1.088 u,14.604,1.738 u,511.328,49.925,96.345,33.038,53.42,14.639,4.827,58.694,138.714,4.635,62.188,724.888,247.464
THS,PB1041,PT,Y15-24,M,2011,2145.391,21.938,: u,8.928,101.253,284.762,: u,31.5,14.227,107.879,160.747,: u,100.322,2.275,: u,: u,0.669 u,10.86,1.898 u,413.561,25.69,96.754,18.846,64.191,13.69,5.095,33.701,81.3,3.337,39.644,529.303,209.535
THS,PB1041,PT,Y15-24,T,2011,5184.42,70.712,8.795 u,24.428,242.935,689.266,8.516,76.545,28.859,321.763,438.876,6.014 u,251.151,4.739,5.291 u,7.721 u,1.757,25.465,3.636,924.889,75.615,193.099,51.884,117.612,28.33,9.922,92.395,220.014,7.972,101.833,1254.192,456.999
THS,PB1041,PT,Y25-34,F,2011,4902.061,153.727,: u,34.848,65.409,990.034,6.772,56.355,39.499,450.473,559.983,9.856 u,543.32,6.082,9.048,9.442,4.858,29.139,2.93 u,472.477,137.249,149.372,48.734,73.035,11.755,12.557,35.649,133.449,4.316,165.469,850.19,365.022
THS,PB1041,PT,Y25-34,M,2011,1603.261,35.48,: u,9.199,31.589,262.966,3.733 u,25.856,23.75,196.304,149.683,: u,167.661,3.658,5.86 u,7.658 u,0.991 u,19.724,: u,137.749,34.534,58.136,31.542,101.63,5.142 u,7.641,17.603,42.459,: u,56.497,213.81,164.469
THS,PB1041,PT,Y25-34,T,2011,6505.322,189.207,10.663 u,44.047,96.998,1253.001,10.505,82.211,63.249,646.777,709.667,13.175 u,710.981,9.74,14.908,17.099,5.849,48.863,3.669,610.226,171.783,207.508,80.276,174.666,16.897,20.198,53.252,175.907,5.304,221.965,1064,529.491
THS,PB1041,PT,Y35-44,F,2011,7254.902,226.212,: u,42.788,82.859,1715.313,7.905,73.787,36.749,541.284,866.867,10.481 u,897.781,4.841,8.648,14.631,10.006,36.222,4.662,664.708,232.77,125.726,45.684,91.94,5.731 u,10.592,31.954,166.743,3.29,265.366,1293.345,349.314
THS,PB1041,PT,Y35-44,M,2011,1243.678,39.894,: u,4.956 u,11.473,180.23,: u,18.43,20.77,145.831,122.614,5.367 u,150.688,1.316 u,: u,7.522 u,0.797 u,15.943,: u,119.51,15.609,36.789,22.807,88.23,2.43 u,4.686,7.559,31.257,: u,43.919,178.139,148.378
THS,PB1041,PT,Y35-44,T,2011,8498.58,266.106,9.49 u,47.745,94.333,1895.543,9.757,92.217,57.519,687.115,989.481,15.848 u,1048.469,6.157,12.434,22.154,10.803,52.166,5.038,784.218,248.379,162.514,68.491,180.17,8.161 u,15.278,39.513,198.001,3.916,309.285,1471.484,497.692
THS,PB1041,PT,Y45-54,F,2011,6137.34,233.662,: u,19.383,65.977,1686.564,6.251,68.032,27.863,367.748,638.782,16.836 u,609.293,4.321,8.522,12.94,7,21.927,3.063 u,648.437,174.397,110.642,52.821,65.071,2.267 u,12.854,15.254,115.634,2.801,242.707,1136.726,190.911
THS,PB1041,PT,Y45-54,M,2011,1122.099,45.779,: u,4.143 u,10.17,188.959,: u,18.202,14.459,70.083,121.258,9.76 u,95.335,1.52,: u,9.399,0.862 u,12.556,: u,129.697,20.541,50.945,20.196,59.74,2.177 u,5.765,7.379,21.058,: u,33.692,191.237,169.124
THS,PB1041,PT,Y45-54,T,2011,7259.439,279.441,10.285 u,23.525,76.147,1875.524,8.098,86.234,42.322,437.832,760.04,26.595 u,704.628,5.841,11.774,22.338,7.862,34.483,3.631,778.134,194.939,161.586,73.018,124.811,4.444 u,18.619,22.633,136.692,3.43,276.399,1327.963,360.035
THS,PB1041,PT,Y55-64,F,2011,3255.661,109.137,: u,28.476,56.018,870.645,4.959 u,44.288,14.857,160.647,323.751,10.477 u,163.31,2.506,4.261 u,10.094,2.454,15.54,: u,337.952,49.607,122.697,35.397,58.53,3.932 u,7.522,24.709,108.351,2.295,127.601,678.852,82.271
THS,PB1041,PT,Y55-64,M,2011,1230.654,41.32,: u,11.517,17.503,177.809,: u,17.438,10.54,42.148,96.198 u,7.717 u,88.687,1.922,: u,4.629 u,0.619 u,11.418,: u,155.245,12.128 u,72.608,29.373,54.429,3.072 u,5.355,22.885,42.011,: u,35.032,292.946,113.303
THS,PB1041,PT,Y55-64,T,2011,4486.315,150.458,9.943 u,39.993,73.521,1048.454,7.047,61.726,25.397,202.795,419.949,18.194 u,251.997,4.429,7.685,14.723,3.072,26.958,2.371 u,493.197,61.735,195.305,64.77,112.959,7.005 u,12.877,47.594,150.362,2.994,162.632,971.799,195.573
THS,PB1041,TOTAL,TOTAL,F,2011,81192.234,1805.318,1270.182,1946.251,1131.879,12563.836,247.16,827.345,1417.601,7088.368,9246.058,583.915,7959.728,176.156,358.27,573.606,74.086,1608.696,55.357,3482.375,1517.019,6247.41,1852.444,3670.164,362.446,950.804,910.32,1778.526,63.401,1594.03,11486.916,5721.025
THS,PB1041,TOTAL,TOTAL,M,2011,99447.907,2169.585,1427.212,2589.885,1263.112,14512.392,257.796,926.368,2120.778,8812.275,11167.097,707.401,11621.364,189.38,350.879,545.904,101.768,1923.186,103.332,4093.816,1752.118,7904.528,2120.861,4599.337,429.483,1214.662,1019.481,2093.174,70.035,1972.943,13430.732,14570.045
THS,PB1041,TOTAL,TOTAL,T,2011,180640.141,3974.903,2697.394,4536.136,2394.991,27076.228,504.956,1753.713,3538.379,15900.643,20413.155,1291.316,19581.092,365.536,709.149,1119.51,175.854,3531.883,158.689,7576.191,3269.136,14151.939,3973.305,8269.501,791.928,2165.466,1929.801,3871.7,133.436,3566.972,24917.648,20291.07
THS,PB1041,TOTAL,Y15-24,F,2011,8015.971,141.42,77.726,117.046,192.262,1521.633,23.334,89.157,62.279,463.589,892.131,32.405 u,409.696,16.632,29.139,34.109,5.007,95.505,9.901,611.415,219.05,479.144,135.286,292.956,28.108,53.436,121.421,222.328,11.907,237.967,1639.856,1203.128
THS,PB1041,TOTAL,Y15-24,M,2011,9458.743,160.155,107.239,181.605,189.148,1650.683,27.592,78.642,99.113,477.016,1114.738,66.481,639.62,15.328,37.921,42.057,6.105,118.544,13.611,613.005,264.512,732.468,162.05,397.32,41.778,98.062,112.707,241.241,11.639,262.656,1769.999,2326.702
THS,PB1041,TOTAL,Y15-24,T,2011,17474.714,301.575,184.965,298.651,381.41,3172.316,50.926,167.799,161.393,940.605,2006.869,98.886,1049.316,31.96,67.06,76.166,11.112,214.05,23.512,1224.42,483.563,1211.612,297.336,690.276,69.887,151.498,234.129,463.569,23.546,500.622,3409.856,3529.829
THS,PB1041,TOTAL,Y25-34,F,2011,20315.477,474.007,301.029,458.439,220.055,2668.739,60.234,261.562,372.348,1993.752,2416.851,132.976,1888.265,58.112,94.855,142.191,23.937,412.99,19.738,767.716,377.963,1848.998,544.531,1082.865,114.815,253.763,205.183,398.552,13.936,372.72,2721.011,1920.678
THS,PB1041,TOTAL,Y25-34,M,2011,24935.732,556.072,365.333,722.32,242.419,3037.766,75.631,252.376,525.911,2300.626,2960.003,160.571,2568.719,55.411,99.753,139.972,27.512,592.995,28.445,843.591,422.926,2453.71,602.636,1328.238,125.41,363.682,259.397,476.351,15.313,437.683,3347.957,4965.986
THS,PB1041,TOTAL,Y25-34,T,2011,45251.208,1030.079,666.361,1180.759,462.474,5706.505,135.865,513.937,898.259,4294.378,5376.854,293.547,4456.984,113.523,194.608,282.163,51.449,1005.985,48.183,1611.307,800.889,4302.708,1147.167,2411.103,240.225,617.445,464.579,874.903,29.249,810.403,6068.968,6886.665
THS,PB1041,TOTAL,Y35-44,F,2011,22803.149,519.433,370.057,599.651,284.733,3122.569,64.064,208.04,470.794,2189.708,2634.686,146.587,2660.831,48.601,95.743,163.249,23.247,485.359,12.577,850.477,438.207,1736.284,571.222,1170.996,104.193,272.697,216.84,458.875,14.52,401.481,2883.426,1579.595
THS,PB1041,TOTAL,Y35-44,M,2011,27808.74,601.285,401.218,748.043,328.277,3693.555,69.693,263.237,667.481,2754.29,3187.932,159.42,3737.512,45.726,93.418,149.488,32.294,582.172,23.306,1008.524,479.799,2047.098,624.943,1448.347,118.253,325.615,250.713,539.257,16.885,488.758,3427.843,4010.151
THS,PB1041,TOTAL,Y35-44,T,2011,50611.888,1120.718,771.275,1347.695,613.01,6816.124,133.757,471.277,1138.275,4943.998,5822.618,306.007,6398.344,94.328,189.161,312.737,55.542,1067.531,35.883,1859.001,918.006,3783.381,1196.165,2619.343,222.446,598.312,467.553,998.132,31.405,890.238,6311.269,5589.746
THS,PB1041,TOTAL,Y45-54,F,2011,20599.427,481.295,337.532,522.292,270.023,3463.802,61.385,174.575,363.645,1701.856,2268.269,195.567,2181.105,36.486,91.386,162.253,16.673,421.917,9.729,830.092,382.033,1603.509,421.806,766.408,94.093,274.171,224.796,406.726,14.077,385.167,2836.004,761.854
THS,PB1041,TOTAL,Y45-54,M,2011,24610.95,592.073,339.077,574.874,304.752,3963.793,55.077,206.248,544.546,2182.37,2806.633,200.869,3273.818,44.749,78.661,147.518,26.18,419.429,24.61,1013.954,438.276,1746.337,493.091,927.475,105.554,277.421,241.92,477.336,15.679,484.358,3104.312,2409.885
THS,PB1041,TOTAL,Y45-54,T,2011,45210.377,1073.367,676.609,1097.166,574.775,7427.596,116.461,380.823,908.191,3884.226,5074.902,396.436,5454.923,81.234,170.047,309.771,42.853,841.346,34.339,1844.046,820.309,3349.846,914.896,1693.883,199.646,551.592,466.716,884.062,29.756,869.525,5940.316,3171.739
THS,PB1041,TOTAL,Y55-64,F,2011,9458.211,189.163,183.84,248.823,164.805,1787.092,38.142,94.012,148.534,739.464,1034.121,76.38,819.83,16.325,47.148,71.803,5.221,192.925,3.412,422.676,99.766,579.476,179.6,356.939,21.237,96.737,142.079,292.044,8.96,196.696,1406.618,255.769
THS,PB1041,TOTAL,Y55-64,M,2011,12633.743,260.001,214.345,363.043,198.516,2166.596,29.804,125.865,283.727,1097.972,1097.791,120.06,1401.695,28.166,41.126,66.87,9.677,210.045,13.36,614.742,146.604,924.916,238.14,497.957,38.487,149.883,154.744,358.99,10.519,299.488,1780.621,857.322
THS,PB1041,TOTAL,Y55-64,T,2011,22091.954,449.163,398.184,611.866,363.321,3953.688,67.946,219.876,432.261,1837.435,2131.912,196.44,2221.525,44.491,88.274,138.673,14.899,402.97,16.772,1037.418,246.37,1504.392,417.74,854.896,59.724,246.62,296.823,651.034,19.479,496.184,3187.239,1113.091
THS,PB1070,FT,TOTAL,F,2011,3685.606,60.122,31.845,84.829,67.588,302.815,18.979,10.278,48.963,311.986,686.613,29.536 u,291.808,8.691,35.375,36.698,7.021,44.516,: u,47.774,107.557,260.629,245.68,149.637,52.493,52.563,125.077,138.314,12.265,98.491,426.628,797.309
THS,PB1070,FT,TOTAL,M,2011,5191.59,113.838,32.911,106.109,80.085,630.433,16.443,18.527,70.074,418.508,1017.854,43.763,435.509,11.778,20.499,26.447,9.53,40.583,3.806,139.983,206.223,339.473,209.892,130.751,63,57.669,113.227,168.318,12.231,212.839,666.358,1755.325
THS,PB1070,FT,TOTAL,T,2011,8877.196,173.96,64.756,190.937,147.672,933.248,35.421,28.806,119.037,730.494,1704.467,73.299,727.317,20.469,55.874,63.145,16.551,85.099,5.396,187.757,313.779,600.102,455.572,280.388,115.493,110.232,238.304,306.632,24.496,311.331,1092.986,2552.634
THS,PB1070,FT,Y15-24,F,2011,152.043,: u,: u,1.867 u,4.77 u,: u,: u,: u,: u,4.759 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,2.35 u,7.128 u,: u,: u,: u,: u,: u,4.477,8.067,1.78,25.448,42.281,36.14
THS,PB1070,FT,Y15-24,M,2011,172.465,3.659 u,: u,2.873 u,4.47 u,: u,: u,: u,: u,5.54 u,: u,: u,5.528 u,: u,: u,: u,: u,: u,: u,5.625 u,10.714 u,8.911 u,: u,: u,1.957 u,: u,5.311,7.978,1.607,25.205,32.077,96.844
THS,PB1070,FT,Y15-24,T,2011,324.508,5.833 u,: u,4.739 u,9.24,56.175,: u,: u,: u,10.299,64.787 u,: u,7.485 u,: u,: u,: u,: u,: u,: u,7.975 u,17.841,13.041 u,10.441,: u,2.856 u,: u,9.788,16.045,3.388,50.653,74.358,132.984
THS,PB1070,FT,Y25-34,F,2011,523.905,11.724,: u,9.226,8.938,: u,: u,2.557,3.745 u,59.542,127.863,: u,26.584,1.001 u,4.433 u,: u,2.114,3.856 u,: u,10.598 u,14.23 u,23.457,45.437,: u,7.744 u,3.216 u,19.623,27.056,2.021,22.414,62.307,123.156
THS,PB1070,FT,Y25-34,M,2011,700.621,14.432,: u,13.605,15.73,64.168,: u,1.703,4.563 u,55.841,189.387,: u,41.248,1.221 u,: u,: u,1.606,6.123,: u,16.975 u,20.746,41.092,27.306,9.612 u,10.489,3.426 u,20.304,30.457,2.437,38.797,103.23,357.93
THS,PB1070,FT,Y25-34,T,2011,1224.526,26.156,: u,22.831,24.668,101.144,3.288 u,4.26,8.308 u,115.384,317.25,: u,67.832,2.222,5.934 u,: u,3.72,9.979,: u,27.573 u,34.976,64.549,72.744,15.634,18.233,6.642,39.927,57.513,4.457,61.21,165.537,481.087
THS,PB1070,FT,Y35-44,F,2011,849.423,12.349,7.171 u,18.742,17.562,66.34,2.549 u,2.408,9.838 u,79.352,168.657,5.774 u,77.678,1.44 u,5.257 u,8.009,1.801,7.741,: u,12.376 u,19.85,48.722,62.683,28.356,15.308,14.202,27.891,33.052,2.648,15.189,93.933,226.36
THS,PB1070,FT,Y35-44,M,2011,1218.057,32.52,: u,21.498,20.426,127.247,3.862 u,5.297,11.889,109.931,261.51,5.766 u,125.048,2.153,5.316 u,5.949 u,2.645,8.579,: u,31.296 u,50.458,52.583,54.166,25.402,14.761,11.622,25.942,41.063,2.444,38.162,154.617,528.886
THS,PB1070,FT,Y35-44,T,2011,2067.48,44.869,12.877 u,40.241,37.988,193.586,6.411,7.705,21.727,189.283,430.167,11.539 u,202.726,3.593,10.574,13.958,4.446,16.321,: u,43.672,70.308,101.305,116.849,53.758,30.069,25.824,53.833,74.115,5.092,53.352,248.55,755.245
THS,PB1070,FT,Y45-54,F,2011,1348.516,23.419,11.077 u,35.259,22.856,83.524,7.079,2.794,16.581,107.399,247.653,13.023 u,118.519,3.473,14.125,15.004,2.078,18.084,: u,12.074 u,49.756,118.613,73.351,60.364,23.686,22.26,44.737,42.381,3.117,25.214,159.135,255.084
THS,PB1070,FT,Y45-54,M,2011,1774.583,37.145,7.411 u,29.874,23.142,229.149,5.956,5.008,22.943,143.119,365.326,19.595 u,158.439,3.775,6.387 u,9.659,3.916,14.864,: u,50.135,79.442,120.018,62.216,40.261,22.353,23.541,37.064,48.201,3.122,64.101,204.287,497.054
THS,PB1070,FT,Y45-54,T,2011,3123.098,60.564,18.488,65.133,45.998,312.674,13.035,7.802,39.523,250.518,612.979,32.618 u,276.958,7.248,20.513,24.663,5.993,32.948,: u,62.209,129.198,238.631,135.567,100.625,46.039,45.802,81.801,90.582,6.239,89.315,363.422,752.138
THS,PB1070,FT,Y55-64,F,2011,811.719,10.457,12.573 u,19.734,13.461,93.555,6.761,2.188,18.799,60.933,107.223,9.638 u,67.069,2.585,11.045,11.992,0.756 u,14.265,: u,10.376 u,16.593,65.706,60.078,54.172,4.855 u,11.445,28.349,27.757,2.699,10.227,68.973,156.57
THS,PB1070,FT,Y55-64,M,2011,1325.865,26.081,17.877,38.259,16.317,176.115,4.106 u,5.927,29.956,104.078,172.062,15.582 u,105.247,4.351,6.789,9.054,1.169 u,10.381,: u,35.952 u,44.863,116.87,59.894,54.541,13.44,18.484,24.605,40.62,2.621,46.574,172.147,274.61
THS,PB1070,FT,Y55-64,T,2011,2137.584,36.538,30.45,57.993,29.778,269.669,10.866,8.115,48.755,165.011,279.285,25.219 u,172.316,6.936,17.834,21.046,1.925,24.647,: u,46.329,61.455,182.577,119.972,108.713,18.295,29.929,52.954,68.377,5.32,56.801,241.12,431.18
THS,PB1070,NRP,TOTAL,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,2.183 u,: u,:
THS,PB1070,NRP,TOTAL,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,TOTAL,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,3.689 u,12.49,:
THS,PB1070,NRP,Y15-24,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y15-24,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y15-24,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y25-34,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y25-34,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y25-34,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y35-44,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y35-44,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y35-44,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y45-54,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y45-54,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y45-54,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y55-64,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y55-64,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1070,NRP,Y55-64,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,2.144 u,: u,:
THS,PB1070,PT,TOTAL,F,2011,3124.993,100.288,: u,33.508,76.007,527.597,6.321,11.732,6.6 u,144.365,643.79,12.115 u,146.222,2.372,6.172 u,9.658,5.758,31.307,2.458 u,272.389,86.439,86.834,82.598,69.172,14.22,12.864,49.397,168.584,6.821,178.25,513.488,480.943
THS,PB1070,PT,TOTAL,M,2011,1250.918,32.871,: u,16.699,28.933,227.779,: u,6.306,4.435 u,34.85,148.677,12.929 u,68.99,1.926,: u,6.188 u,0.902 u,20.938,: u,109.181,22.823,87.032,38.219,55.679,8.903 u,7.669,25.721,56.708,1.746,51.735,218.875,234.257
THS,PB1070,PT,TOTAL,T,2011,4375.911,133.159,: u,50.208,104.941,755.375,7.856,18.039,11.035,179.215,792.467,25.044 u,215.212,4.298,9.435,15.846,6.66,52.244,3.48,381.57,109.261,173.865,120.816,124.85,23.123,20.533,75.118,225.291,8.568,229.985,732.363,715.201
THS,PB1070,PT,Y15-24,F,2011,144.753,: u,: u,: u,7.978,: u,: u,: u,: u,5.622 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,20.617 u,: u,: u,: u,: u,: u,: u,4.79,15.499,2.07,8.982,37.345,14.951
THS,PB1070,PT,Y15-24,M,2011,80.877 u,: u,: u,1.286 u,3.572 u,: u,: u,: u,: u,2.921 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,12.415 u,: u,: u,: u,: u,: u,: u,2.529 u,4.009 u,: u,4.549 u,25.398,11.274
THS,PB1070,PT,Y15-24,T,2011,225.63,2.793 u,: u,1.71 u,11.551,: u,: u,: u,: u,8.543,: u,: u,: u,: u,: u,: u,: u,: u,: u,33.032 u,: u,: u,: u,: u,1.055 u,: u,7.32,19.509,2.546,13.531,62.743,26.224
THS,PB1070,PT,Y25-34,F,2011,316.031,11.556,: u,2.91 u,10.383,: u,: u,1.162,: u,11.994,70.781 u,: u,16.706,: u,: u,: u,0.609 u,: u,: u,40.193,8.215 u,8.363 u,: u,: u,1.145 u,: u,7.01,18.422,: u,22.423,56.833,70.683
THS,PB1070,PT,Y25-34,M,2011,131.135,: u,: u,1.632 u,: u,: u,: u,1.399,: u,3.616 u,: u,: u,9.993,: u,: u,: u,: u,: u,: u,9.625 u,: u,9.673 u,: u,: u,: u,: u,2.722 u,7.297,: u,12.071,24.006,23.873
THS,PB1070,PT,Y25-34,T,2011,447.166,14.03,: u,4.542 u,13.807,58,: u,2.561,: u,15.61,89.793 u,: u,26.699,0.555 u,: u,: u,0.636 u,2.907 u,: u,49.818,10.811 u,18.036 u,7.505,: u,1.814 u,3.569 u,9.731,25.72,1.149,34.493,80.838,94.555
THS,PB1070,PT,Y35-44,F,2011,657.665,27.795,: u,6.517,17.344,109.862,: u,1.803,: u,39.548,130.875,: u,40.284,: u,: u,: u,1.746,4.848 u,: u,61.908,18.66,11.593 u,9.076,7.113 u,3.226 u,2.819 u,6.643,35.017,1.502,32.901,113.105,129.022
THS,PB1070,PT,Y35-44,M,2011,206.47,4.34 u,: u,1.282 u,6.577 u,: u,: u,1.115,: u,6.825 u,: u,: u,16.715,: u,: u,: u,: u,4.61 u,: u,14.544 u,: u,10.825 u,: u,: u,1.013 u,: u,2.206 u,7.383,: u,7.438,38.799,50.014
THS,PB1070,PT,Y35-44,T,2011,864.135,32.135,: u,7.799,23.921,148.342,: u,2.918,: u,46.373,159.605,: u,57,0.794 u,: u,: u,1.895,9.458,: u,76.452,22.972,22.418,14.657,13.42,4.239 u,4.867,8.849,42.4,1.65,40.339,151.904,179.036
THS,PB1070,PT,Y45-54,F,2011,1135.407,41.477,: u,11.978,21.804,204.687,: u,3.724,: u,50.424,273.223,5.756 u,59.941,0.803 u,: u,: u,2.471,11.919,: u,92.194,37.738,27.502,25.25,13.53,4.281 u,4.546,9.086,44.652,1.166,67.617,177.676,149.463
THS,PB1070,PT,Y45-54,M,2011,357.924,12.107,: u,4.179 u,7.736,79.702,: u,1.847,: u,11.059,51.488 u,: u,21.138,: u,: u,: u,: u,9.397,: u,29.553 u,: u,24.921,9.014,9.908 u,4.25 u,: u,5.028,14.858,: u,12.336,47.879,66.767
THS,PB1070,PT,Y45-54,T,2011,1493.33,53.584,: u,16.157,29.54,284.389,: u,5.571,2.517 u,61.483,324.711,8.735 u,81.079,1.025 u,: u,5.714 u,2.853,21.315,: u,121.747,41.082,52.423,34.264,23.438,8.531 u,6.821,14.115,59.51,1.558,79.953,225.556,216.229
THS,PB1070,PT,Y55-64,F,2011,871.137,17.914,: u,11.68,18.497,167.687,3.261 u,4.372,3.622 u,36.776,139.229,4.404 u,28.027,1.073 u,: u,: u,0.863 u,12.143,: u,57.477,18.061,38.434,42.302,45.208,4.919 u,2.606 u,21.867,54.993,1.163,46.328,128.529,116.826
THS,PB1070,PT,Y55-64,M,2011,474.512,12.702,: u,8.32,7.624,74.71,: u,1.718,: u,10.429,: u,8.541 u,20.383,: u,: u,: u,: u,5.91,: u,43.043,12.098 u,37.902,20.289,35.515,2.564 u,: u,13.236,23.161,: u,15.34,82.793,82.33
