unit,barrier,age,sex,time\geo,i,v
THS,PTP_LD1,Y_GE65,F,2012,FI,53.4
THS,PTP_LD1,Y_GE65,F,2012,SE,108.0
THS,PTP_LD1,Y_GE65,F,2012,EEA,5482.7 e
THS,PTP_LD1,Y_GE65,F,2012,IS,2.1
THS,PTP_LD1,Y_GE65,F,2012,NO,37.1
THS,PTP_LD1,Y_GE65,F,2012,UK,554.7
THS,PTP_LD1,Y_GE65,M,2012,EU27_2007,3914.2 e
THS,PTP_LD1,Y_GE65,M,2012,BE,80.4
THS,PTP_LD1,Y_GE65,M,2012,BG,107.2
THS,PTP_LD1,Y_GE65,M,2012,CZ,58.2
THS,PTP_LD1,Y_GE65,M,2012,DK,33.9
THS,PTP_LD1,Y_GE65,M,2012,DE,911.4
THS,PTP_LD1,Y_GE65,M,2012,EE,10.3
THS,PTP_LD1,Y_GE65,M,2012,EL,131.9
THS,PTP_LD1,Y_GE65,M,2012,ES,324.2
THS,PTP_LD1,Y_GE65,M,2012,FR,385.3
THS,PTP_LD1,Y_GE65,M,2012,IT,478.7
THS,PTP_LD1,Y_GE65,M,2012,CY,4.3
THS,PTP_LD1,Y_GE65,M,2012,LV,17.6
THS,PTP_LD1,Y_GE65,M,2012,LT,21.0
THS,PTP_LD1,Y_GE65,M,2012,LU,3.0
THS,PTP_LD1,Y_GE65,M,2012,HU,93.1
THS,PTP_LD1,Y_GE65,M,2012,MT,3.6
THS,PTP_LD1,Y_GE65,M,2012,NL,127.9
THS,PTP_LD1,Y_GE65,M,2012,AT,88.5
THS,PTP_LD1,Y_GE65,M,2012,PL,220.2
THS,PTP_LD1,Y_GE65,M,2012,PT,82.4
THS,PTP_LD1,Y_GE65,M,2012,RO,163.7
THS,PTP_LD1,Y_GE65,M,2012,SI,18.8
THS,PTP_LD1,Y_GE65,M,2012,SK,22.4
THS,PTP_LD1,Y_GE65,M,2012,FI,43.3
THS,PTP_LD1,Y_GE65,M,2012,SE,89.1
THS,PTP_LD1,Y_GE65,M,2012,EEA,3940.1 e
THS,PTP_LD1,Y_GE65,M,2012,IS,2.4
THS,PTP_LD1,Y_GE65,M,2012,NO,23.5
THS,PTP_LD1,Y_GE65,M,2012,UK,393.9
THS,PTP_LD1,Y_GE65,T,2012,EU27_2007,9357.7 e
THS,PTP_LD1,Y_GE65,T,2012,BE,181.9
THS,PTP_LD1,Y_GE65,T,2012,BG,256.6
THS,PTP_LD1,Y_GE65,T,2012,CZ,157.2
THS,PTP_LD1,Y_GE65,T,2012,DK,95.8
THS,PTP_LD1,Y_GE65,T,2012,DE,1933.8
THS,PTP_LD1,Y_GE65,T,2012,EE,35.4
THS,PTP_LD1,Y_GE65,T,2012,EL,272.7
THS,PTP_LD1,Y_GE65,T,2012,ES,783.9
THS,PTP_LD1,Y_GE65,T,2012,FR,856.3
THS,PTP_LD1,Y_GE65,T,2012,IT,1172.8
THS,PTP_LD1,Y_GE65,T,2012,CY,12.2
THS,PTP_LD1,Y_GE65,T,2012,LV,57.3
THS,PTP_LD1,Y_GE65,T,2012,LT,76.7
THS,PTP_LD1,Y_GE65,T,2012,LU,6.7
THS,PTP_LD1,Y_GE65,T,2012,HU,203.2
THS,PTP_LD1,Y_GE65,T,2012,MT,8.4
THS,PTP_LD1,Y_GE65,T,2012,NL,262.8
THS,PTP_LD1,Y_GE65,T,2012,AT,238.6
THS,PTP_LD1,Y_GE65,T,2012,PL,780.5
THS,PTP_LD1,Y_GE65,T,2012,PT,203.4
THS,PTP_LD1,Y_GE65,T,2012,RO,370.6
THS,PTP_LD1,Y_GE65,T,2012,SI,43.9
THS,PTP_LD1,Y_GE65,T,2012,SK,104.6
THS,PTP_LD1,Y_GE65,T,2012,FI,96.7
THS,PTP_LD1,Y_GE65,T,2012,SE,197.1
THS,PTP_LD1,Y_GE65,T,2012,EEA,9422.8 e
THS,PTP_LD1,Y_GE65,T,2012,IS,4.5
THS,PTP_LD1,Y_GE65,T,2012,NO,60.7
THS,PTP_LD1,Y_GE65,T,2012,UK,948.6
THS,PTP_LD2-3,Y15-44,F,2012,EU27_2007,2273.1 e
THS,PTP_LD2-3,Y15-44,F,2012,BE,70.8
THS,PTP_LD2-3,Y15-44,F,2012,BG,19.4 u
THS,PTP_LD2-3,Y15-44,F,2012,CZ,16.0 u
THS,PTP_LD2-3,Y15-44,F,2012,DK,50.1
THS,PTP_LD2-3,Y15-44,F,2012,DE,462.5
THS,PTP_LD2-3,Y15-44,F,2012,EE,4.4 u
THS,PTP_LD2-3,Y15-44,F,2012,EL,22.4 u
THS,PTP_LD2-3,Y15-44,F,2012,ES,232.4
THS,PTP_LD2-3,Y15-44,F,2012,FR,248.9
THS,PTP_LD2-3,Y15-44,F,2012,IT,108.6 u
THS,PTP_LD2-3,Y15-44,F,2012,LV,8.5
THS,PTP_LD2-3,Y15-44,F,2012,LT,11.6
THS,PTP_LD2-3,Y15-44,F,2012,LU,4.2 u
THS,PTP_LD2-3,Y15-44,F,2012,HU,36.6
THS,PTP_LD2-3,Y15-44,F,2012,NL,178.9
THS,PTP_LD2-3,Y15-44,F,2012,AT,25.1 u
THS,PTP_LD2-3,Y15-44,F,2012,PL,141.8
THS,PTP_LD2-3,Y15-44,F,2012,PT,16.5 u
THS,PTP_LD2-3,Y15-44,F,2012,SI,6.0 u
THS,PTP_LD2-3,Y15-44,F,2012,SK,14.2 u
THS,PTP_LD2-3,Y15-44,F,2012,FI,29.0 u
THS,PTP_LD2-3,Y15-44,F,2012,SE,50.7
THS,PTP_LD2-3,Y15-44,F,2012,EEA,2349.8 e
THS,PTP_LD2-3,Y15-44,F,2012,IS,2.9 u
THS,PTP_LD2-3,Y15-44,F,2012,NO,73.8
THS,PTP_LD2-3,Y15-44,F,2012,UK,493.1
THS,PTP_LD2-3,Y15-44,M,2012,EU27_2007,1781.9 e
THS,PTP_LD2-3,Y15-44,M,2012,BE,43.9
THS,PTP_LD2-3,Y15-44,M,2012,BG,12.9 u
THS,PTP_LD2-3,Y15-44,M,2012,CZ,30.3 u
THS,PTP_LD2-3,Y15-44,M,2012,DK,39.1
THS,PTP_LD2-3,Y15-44,M,2012,DE,512.1
THS,PTP_LD2-3,Y15-44,M,2012,EE,4.3 u
THS,PTP_LD2-3,Y15-44,M,2012,EL,19.6 u
THS,PTP_LD2-3,Y15-44,M,2012,ES,187.4
THS,PTP_LD2-3,Y15-44,M,2012,FR,193.3
THS,PTP_LD2-3,Y15-44,M,2012,IT,76.3 u
THS,PTP_LD2-3,Y15-44,M,2012,LV,9.3
THS,PTP_LD2-3,Y15-44,M,2012,LT,10.1
THS,PTP_LD2-3,Y15-44,M,2012,LU,2.6 u
THS,PTP_LD2-3,Y15-44,M,2012,HU,45.1
THS,PTP_LD2-3,Y15-44,M,2012,NL,99.1
THS,PTP_LD2-3,Y15-44,M,2012,AT,15.6 u
THS,PTP_LD2-3,Y15-44,M,2012,PL,112.7
THS,PTP_LD2-3,Y15-44,M,2012,PT,9.9 u
THS,PTP_LD2-3,Y15-44,M,2012,SI,7.6 u
THS,PTP_LD2-3,Y15-44,M,2012,SK,20.6 u
THS,PTP_LD2-3,Y15-44,M,2012,FI,29.8 u
THS,PTP_LD2-3,Y15-44,M,2012,SE,39.2
THS,PTP_LD2-3,Y15-44,M,2012,EEA,1821.5 e
THS,PTP_LD2-3,Y15-44,M,2012,IS,1.3 u
THS,PTP_LD2-3,Y15-44,M,2012,NO,38.2
THS,PTP_LD2-3,Y15-44,M,2012,UK,237.8
THS,PTP_LD2-3,Y15-44,T,2012,EU27_2007,4055.0 e
THS,PTP_LD2-3,Y15-44,T,2012,BE,114.7
