unit,lev_limit,lev_satis,age,sex,geo\time,i,v,flag
PC_POP,NONE,GOOD,Y16-24,T,ES,2007,66.7,
PC_POP,NONE,GOOD,Y16-24,T,EU27_2007,2012,56.9,
PC_POP,NONE,GOOD,Y16-24,T,EU27_2007,2007,51.8,
PC_POP,NONE,GOOD,Y16-24,T,EU28,2012,57.0,
PC_POP,NONE,GOOD,Y16-24,T,FI,2012,54.1,
PC_POP,NONE,GOOD,Y16-24,T,FI,2007,54.9,
PC_POP,NONE,GOOD,Y16-24,T,FR,2012,41.7,
PC_POP,NONE,GOOD,Y16-24,T,FR,2007,57.9,
PC_POP,NONE,GOOD,Y16-24,T,HR,2012,72.3,
PC_POP,NONE,GOOD,Y16-24,T,HU,2012,65.6,
PC_POP,NONE,GOOD,Y16-24,T,HU,2007,48.6,
PC_POP,NONE,GOOD,Y16-24,T,IE,2012,46.6,
PC_POP,NONE,GOOD,Y16-24,T,IE,2007,42.4,
PC_POP,NONE,GOOD,Y16-24,T,IS,2012,41.1,
PC_POP,NONE,GOOD,Y16-24,T,IS,2007,31.3,
PC_POP,NONE,GOOD,Y16-24,T,IT,2012,71.9,
PC_POP,NONE,GOOD,Y16-24,T,IT,2007,65.5,
PC_POP,NONE,GOOD,Y16-24,T,LT,2012,69.1,
PC_POP,NONE,GOOD,Y16-24,T,LT,2007,54.1,
PC_POP,NONE,GOOD,Y16-24,T,LU,2012,39.4,
PC_POP,NONE,GOOD,Y16-24,T,LU,2007,41.4,
PC_POP,NONE,GOOD,Y16-24,T,LV,2012,67.6,
PC_POP,NONE,GOOD,Y16-24,T,LV,2007,63.7,
PC_POP,NONE,GOOD,Y16-24,T,MT,2012,59.8,
PC_POP,NONE,GOOD,Y16-24,T,MT,2007,68.5,
PC_POP,NONE,GOOD,Y16-24,T,NL,2012,36.4,
PC_POP,NONE,GOOD,Y16-24,T,NL,2007,30.2,
PC_POP,NONE,GOOD,Y16-24,T,NO,2012,48.4,
PC_POP,NONE,GOOD,Y16-24,T,NO,2007,50.0,
PC_POP,NONE,GOOD,Y16-24,T,PL,2012,63.9,
PC_POP,NONE,GOOD,Y16-24,T,PL,2007,70.5,
PC_POP,NONE,GOOD,Y16-24,T,PT,2012,70.9,
PC_POP,NONE,GOOD,Y16-24,T,PT,2007,57.7,
PC_POP,NONE,GOOD,Y16-24,T,RO,2012,80.6,
PC_POP,NONE,GOOD,Y16-24,T,RO,2007,17.4,
PC_POP,NONE,GOOD,Y16-24,T,SE,2012,36.6,
PC_POP,NONE,GOOD,Y16-24,T,SE,2007,46.9,
PC_POP,NONE,GOOD,Y16-24,T,SI,2012,59.3,
PC_POP,NONE,GOOD,Y16-24,T,SI,2007,55.2,
PC_POP,NONE,GOOD,Y16-24,T,SK,2012,74.4,
PC_POP,NONE,GOOD,Y16-24,T,SK,2007,60.8,
PC_POP,NONE,GOOD,Y16-24,T,TR,2007,50.1,
