unit,incgrp,lev_limit,tenure,geo\time,i,v,flag
PC,A_MD60,NONE,OWN,DE,2011,58.2,
PC,A_MD60,NONE,OWN,DE,2010,57.8,
PC,A_MD60,NONE,OWN,DE,2005,60.2,
PC,A_MD60,NONE,OWN,DK,2021,64.0,
PC,A_MD60,NONE,OWN,DK,2020,63.2,
PC,A_MD60,NONE,OWN,DK,2019,65.8,
PC,A_MD60,NONE,OWN,DK,2018,66.7,
PC,A_MD60,NONE,OWN,DK,2017,67.4,
PC,A_MD60,NONE,OWN,DK,2016,66.3,
PC,A_MD60,NONE,OWN,DK,2015,68.2,
PC,A_MD60,NONE,OWN,DK,2014,68.5,
PC,A_MD60,NONE,OWN,DK,2013,69.8,
PC,A_MD60,NONE,OWN,DK,2012,69.9,
PC,A_MD60,NONE,OWN,DK,2011,73.1,
PC,A_MD60,NONE,OWN,DK,2010,71.3,
PC,A_MD60,NONE,OWN,DK,2009,70.4,
PC,A_MD60,NONE,OWN,DK,2008,71.4,
PC,A_MD60,NONE,OWN,DK,2007,70.7,
PC,A_MD60,NONE,OWN,DK,2006,70.8,
PC,A_MD60,NONE,OWN,DK,2005,70.2,
PC,A_MD60,NONE,OWN,EA,2020,72.9,
PC,A_MD60,NONE,OWN,EA,2019,70.5,
PC,A_MD60,NONE,OWN,EA,2018,70.8,e
PC,A_MD60,NONE,OWN,EA,2017,70.6,e
PC,A_MD60,NONE,OWN,EA,2016,71.0,e
PC,A_MD60,NONE,OWN,EA,2015,70.8,e
PC,A_MD60,NONE,OWN,EA,2014,72.1,e
PC,A_MD60,NONE,OWN,EA,2013,71.8,e
PC,A_MD60,NONE,OWN,EA,2012,71.9,e
PC,A_MD60,NONE,OWN,EA,2011,71.2,e
PC,A_MD60,NONE,OWN,EA,2010,71.1,e
PC,A_MD60,NONE,OWN,EA,2009,75.0,e
PC,A_MD60,NONE,OWN,EA,2008,74.8,e
PC,A_MD60,NONE,OWN,EA,2007,73.9,e
PC,A_MD60,NONE,OWN,EA,2005,68.3,e
PC,A_MD60,NONE,OWN,EA18,2020,72.8,
PC,A_MD60,NONE,OWN,EA18,2019,70.3,
PC,A_MD60,NONE,OWN,EA18,2018,70.6,
PC,A_MD60,NONE,OWN,EA18,2017,70.4,
PC,A_MD60,NONE,OWN,EA18,2016,70.8,
PC,A_MD60,NONE,OWN,EA18,2015,70.6,
PC,A_MD60,NONE,OWN,EA18,2014,72.1,
PC,A_MD60,NONE,OWN,EA18,2013,71.8,
PC,A_MD60,NONE,OWN,EA18,2012,71.9,
PC,A_MD60,NONE,OWN,EA18,2011,71.3,
PC,A_MD60,NONE,OWN,EA18,2010,71.3,
PC,A_MD60,NONE,OWN,EA18,2009,75.2,e
PC,A_MD60,NONE,OWN,EA18,2008,75.3,e
PC,A_MD60,NONE,OWN,EA18,2007,74.5,e
PC,A_MD60,NONE,OWN,EA18,2005,68.8,e
PC,A_MD60,NONE,OWN,EA19,2020,72.9,
