unit,hlth_pb,age,sex,time\geo,i,v,flag
PC,PB1040,Y20-64,M,2011,NL,52.9,
PC,PB1040,Y20-64,M,2011,AT,70.9,
PC,PB1040,Y20-64,M,2011,PL,42.6,
PC,PB1040,Y20-64,M,2011,PT,65.0,
PC,PB1040,Y20-64,M,2011,RO,40.0,
PC,PB1040,Y20-64,M,2011,SI,56.5,
PC,PB1040,Y20-64,M,2011,SK,43.6,
PC,PB1040,Y20-64,M,2011,FI,68.0,
PC,PB1040,Y20-64,M,2011,SE,80.4,
PC,PB1040,Y20-64,M,2011,IS,79.2,
PC,PB1040,Y20-64,M,2011,CH,80.2,
PC,PB1040,Y20-64,M,2011,UK,57.9,
PC,PB1040,Y20-64,M,2011,TR,68.1,
PC,PB1040,Y20-64,T,2011,EU28,54.6,
PC,PB1040,Y20-64,T,2011,BE,46.5,
PC,PB1040,Y20-64,T,2011,BG,36.0,
PC,PB1040,Y20-64,T,2011,CZ,46.2,
PC,PB1040,Y20-64,T,2011,DK,52.4,
PC,PB1040,Y20-64,T,2011,DE,59.8,
PC,PB1040,Y20-64,T,2011,EE,62.3,
PC,PB1040,Y20-64,T,2011,IE,37.5,
PC,PB1040,Y20-64,T,2011,EL,42.0,
PC,PB1040,Y20-64,T,2011,ES,58.3,
PC,PB1040,Y20-64,T,2011,FR,65.2,
PC,PB1040,Y20-64,T,2011,HR,39.2,
PC,PB1040,Y20-64,T,2011,IT,50.1,
PC,PB1040,Y20-64,T,2011,CY,52.5,
PC,PB1040,Y20-64,T,2011,LV,62.8,
PC,PB1040,Y20-64,T,2011,LT,53.9,
PC,PB1040,Y20-64,T,2011,LU,67.2,
PC,PB1040,Y20-64,T,2011,HU,29.7,
PC,PB1040,Y20-64,T,2011,MT,39.2,
PC,PB1040,Y20-64,T,2011,NL,46.9,
PC,PB1040,Y20-64,T,2011,AT,64.8,
PC,PB1040,Y20-64,T,2011,PL,39.0,
PC,PB1040,Y20-64,T,2011,PT,60.7,
PC,PB1040,Y20-64,T,2011,RO,34.7,
PC,PB1040,Y20-64,T,2011,SI,52.7,
PC,PB1040,Y20-64,T,2011,SK,39.9,
PC,PB1040,Y20-64,T,2011,FI,67.7,
PC,PB1040,Y20-64,T,2011,SE,75.5,
PC,PB1040,Y20-64,T,2011,IS,73.7,
PC,PB1040,Y20-64,T,2011,CH,74.4,
PC,PB1040,Y20-64,T,2011,UK,53.6,
PC,PB1040,Y20-64,T,2011,TR,45.0,
PC,PB1040,Y25-54,F,2011,EU28,64.5,
PC,PB1040,Y25-54,F,2011,BE,53.8,
PC,PB1040,Y25-54,F,2011,BG,53.1,
PC,PB1040,Y25-54,F,2011,CZ,60.4,
PC,PB1040,Y25-54,F,2011,DK,56.6,
PC,PB1040,Y25-54,F,2011,DE,64.8,
PC,PB1040,Y25-54,F,2011,EE,77.3,
PC,PB1040,Y25-54,F,2011,IE,39.4,
PC,PB1040,Y25-54,F,2011,EL,50.2,
PC,PB1040,Y25-54,F,2011,ES,66.1,
PC,PB1040,Y25-54,F,2011,FR,78.3,
PC,PB1040,Y25-54,F,2011,HR,53.3,
PC,PB1040,Y25-54,F,2011,IT,57.0,
PC,PB1040,Y25-54,F,2011,CY,61.2,
PC,PB1040,Y25-54,F,2011,LV,76.1,
PC,PB1040,Y25-54,F,2011,LT,72.3,
PC,PB1040,Y25-54,F,2011,LU,72.8,
PC,PB1040,Y25-54,F,2011,HU,44.3,
PC,PB1040,Y25-54,F,2011,MT,43.8,u
PC,PB1040,Y25-54,F,2011,NL,52.0,
PC,PB1040,Y25-54,F,2011,AT,75.4,
PC,PB1040,Y25-54,F,2011,PL,56.5,
PC,PB1040,Y25-54,F,2011,PT,70.5,
PC,PB1040,Y25-54,F,2011,RO,44.7,
PC,PB1040,Y25-54,F,2011,SI,73.8,
PC,PB1040,Y25-54,F,2011,SK,53.6,
PC,PB1040,Y25-54,F,2011,FI,80.6,
PC,PB1040,Y25-54,F,2011,SE,78.6,
PC,PB1040,Y25-54,F,2011,IS,71.0,
PC,PB1040,Y25-54,F,2011,CH,77.3,
PC,PB1040,Y25-54,F,2011,UK,57.8,
PC,PB1040,Y25-54,F,2011,TR,32.8,
PC,PB1040,Y25-54,M,2011,EU28,72.7,
PC,PB1040,Y25-54,M,2011,BE,65.6,
PC,PB1040,Y25-54,M,2011,BG,43.6,
PC,PB1040,Y25-54,M,2011,CZ,64.7,
PC,PB1040,Y25-54,M,2011,DK,66.8,
PC,PB1040,Y25-54,M,2011,DE,76.0,
PC,PB1040,Y25-54,M,2011,EE,70.4,
PC,PB1040,Y25-54,M,2011,IE,49.0,
PC,PB1040,Y25-54,M,2011,EL,60.9,
PC,PB1040,Y25-54,M,2011,ES,78.8,
PC,PB1040,Y25-54,M,2011,FR,87.0,
PC,PB1040,Y25-54,M,2011,HR,52.3,
PC,PB1040,Y25-54,M,2011,IT,76.1,
PC,PB1040,Y25-54,M,2011,CY,67.8,
PC,PB1040,Y25-54,M,2011,LV,77.5,
PC,PB1040,Y25-54,M,2011,LT,62.7,
PC,PB1040,Y25-54,M,2011,LU,89.5,
PC,PB1040,Y25-54,M,2011,HU,46.6,
PC,PB1040,Y25-54,M,2011,MT,75.1,
PC,PB1040,Y25-54,M,2011,NL,60.7,
PC,PB1040,Y25-54,M,2011,AT,87.1,
PC,PB1040,Y25-54,M,2011,PL,55.6,
PC,PB1040,Y25-54,M,2011,PT,74.2,
PC,PB1040,Y25-54,M,2011,RO,53.5,
PC,PB1040,Y25-54,M,2011,SI,74.8,
PC,PB1040,Y25-54,M,2011,SK,56.5,
PC,PB1040,Y25-54,M,2011,FI,81.6,
PC,PB1040,Y25-54,M,2011,SE,84.2,
PC,PB1040,Y25-54,M,2011,IS,78.4,
PC,PB1040,Y25-54,M,2011,CH,87.4,
PC,PB1040,Y25-54,M,2011,UK,65.1,
PC,PB1040,Y25-54,M,2011,TR,78.1,
PC,PB1040,Y25-54,T,2011,EU28,68.3,
PC,PB1040,Y25-54,T,2011,BE,59.3,
PC,PB1040,Y25-54,T,2011,BG,48.6,
PC,PB1040,Y25-54,T,2011,CZ,62.5,
PC,PB1040,Y25-54,T,2011,DK,60.9,
PC,PB1040,Y25-54,T,2011,DE,70.5,
PC,PB1040,Y25-54,T,2011,EE,74.1,
PC,PB1040,Y25-54,T,2011,IE,44.1,
PC,PB1040,Y25-54,T,2011,EL,55.3,
PC,PB1040,Y25-54,T,2011,ES,71.9,
PC,PB1040,Y25-54,T,2011,FR,82.0,
PC,PB1040,Y25-54,T,2011,HR,52.8,
PC,PB1040,Y25-54,T,2011,IT,65.8,
PC,PB1040,Y25-54,T,2011,CY,64.3,
PC,PB1040,Y25-54,T,2011,LV,76.7,
PC,PB1040,Y25-54,T,2011,LT,68.0,
PC,PB1040,Y25-54,T,2011,LU,80.3,
PC,PB1040,Y25-54,T,2011,HU,45.4,
PC,PB1040,Y25-54,T,2011,MT,58.6,
PC,PB1040,Y25-54,T,2011,NL,55.6,
PC,PB1040,Y25-54,T,2011,AT,81.2,
PC,PB1040,Y25-54,T,2011,PL,56.0,
PC,PB1040,Y25-54,T,2011,PT,72.1,
PC,PB1040,Y25-54,T,2011,RO,48.4,
PC,PB1040,Y25-54,T,2011,SI,74.3,
PC,PB1040,Y25-54,T,2011,SK,55.0,
PC,PB1040,Y25-54,T,2011,FI,81.0,
PC,PB1040,Y25-54,T,2011,SE,80.8,
PC,PB1040,Y25-54,T,2011,IS,74.1,
PC,PB1040,Y25-54,T,2011,CH,81.8,
PC,PB1040,Y25-54,T,2011,UK,61.1,
PC,PB1040,Y25-54,T,2011,TR,52.1,
PC,PB1040,Y55-64,F,2011,EU28,30.9,
PC,PB1040,Y55-64,F,2011,BE,22.2,
PC,PB1040,Y55-64,F,2011,BG,22.5,
PC,PB1040,Y55-64,F,2011,CZ,23.9,
PC,PB1040,Y55-64,F,2011,DK,35.2,
PC,PB1040,Y55-64,F,2011,DE,38.4,
PC,PB1040,Y55-64,F,2011,EE,46.0,
PC,PB1040,Y55-64,F,2011,IE,23.0,
PC,PB1040,Y55-64,F,2011,EL,20.7,
PC,PB1040,Y55-64,F,2011,ES,31.2,
PC,PB1040,Y55-64,F,2011,FR,36.3,
PC,PB1040,Y55-64,F,2011,HR,18.7,u
PC,PB1040,Y55-64,F,2011,IT,21.2,
PC,PB1040,Y55-64,F,2011,CY,31.3,
PC,PB1040,Y55-64,F,2011,LV,47.2,
PC,PB1040,Y55-64,F,2011,LT,38.9,
PC,PB1040,Y55-64,F,2011,LU,31.2,
PC,PB1040,Y55-64,F,2011,HU,17.7,
PC,PB1040,Y55-64,F,2011,NL,26.4,
PC,PB1040,Y55-64,F,2011,AT,30.0,
PC,PB1040,Y55-64,F,2011,PL,18.4,
PC,PB1040,Y55-64,F,2011,PT,41.6,
PC,PB1040,Y55-64,F,2011,RO,20.4,
PC,PB1040,Y55-64,F,2011,SI,18.2,
PC,PB1040,Y55-64,F,2011,SK,18.1,
PC,PB1040,Y55-64,F,2011,FI,51.1,
PC,PB1040,Y55-64,F,2011,SE,62.7,
PC,PB1040,Y55-64,F,2011,IS,59.6,
PC,PB1040,Y55-64,F,2011,CH,55.5,
PC,PB1040,Y55-64,F,2011,UK,35.4,
