regione,Minori (0-17 anni),Anziani (65 anni e più),Persone con disabilità,Ospiti con problemi di salute mentale,Altra utenza,Non indicato,g1UP091FC09OG2000000
Umbria,202,688,444,180,2869,0,g1UT091FC09OG2000000
Marche,1854,6882,491,105,1640,0,g1UT091FC09OG2000000
Lazio,1665,12760,2814,1332,3975,0,g1UT091FC09OG2000000
Abruzzo,83,1460,416,211,2959,0,g1UT091FC09OG2000000
Molise,62,1261,150,244,223,0,g1UT091FC09OG2000000
Campania,553,5268,1771,169,2265,0,g1UT091FC09OG2000000
Puglia,1142,5465,1477,811,4408,0,g1UT091FC09OG2000000
Basilicata,301,1475,558,56,405,0,g1UT091FC09OG2000000
Calabria,651,2554,801,504,2207,41,g1UT091FC09OG2000000
Sicilia,2914,10102,2461,1967,6518,0,g1UT091FC09OG2000000
Sardegna,454,3875,1188,715,2278,0,g1UT091FC09OG2000000
Piemonte,183.1,3976.8,108.3,20.2,30.2,20.3,g1UT091FI09OG2000000
Valle d'Aosta / Vallée d'Aoste,126.5,3692.6,30.9,118.2,116.6,0,g1UT091FI09OG2000000
Liguria,296.6,1330.4,161.2,71.1,402.1,0,g1UT091FI09OG2000000
Lombardia,132.2,2964.3,75.1,26.6,90.2,..,g1UT091FI09OG2000000
Trentino Alto Adige / Südtirol,208.4,2397.1,95.9,76.5,522.6,0,g1UT091FI09OG2000000
Veneto,102.7,2880.3,73.9,19.2,81.1,0,g1UT091FI09OG2000000
Friuli-Venezia Giulia,98.3,675.1,66.6,40.6,656.7,0,g1UT091FI09OG2000000
Emilia-Romagna,363.6,2946.9,78.8,29.9,78.5,0,g1UT091FI09OG2000000
Toscana,130.3,887.3,47.6,22.3,240.9,0.1,g1UT091FI09OG2000000
Umbria,144.9,317.5,65.3,20,320,0,g1UT091FI09OG2000000
Marche,748.5,1892.1,41.3,6.8,105.6,0,g1UT091FI09OG2000000
Lazio,172,1062,60.3,22.7,67.7,0,g1UT091FI09OG2000000
Abruzzo,39.7,492.2,40.1,15.8,221.8,0,g1UT091FI09OG2000000
Molise,132.1,1751.9,61.8,77.6,70.8,0,g1UT091FI09OG2000000
Campania,49.1,521.7,36.4,2.9,38.6,0,g1UT091FI09OG2000000
Puglia,160.1,669.4,45.1,19.8,107.8,0,g1UT091FI09OG2000000
